mundial,grupo,posicion,seleccion,pj,pg,pe,pp,gf,gc,dif,pts,clasificado,url,fecha_scraping
2026,A,0,Corea del Sur,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_a.php,2026-03-16T22:47:12.491137
2026,A,0,México,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_a.php,2026-03-16T22:47:12.491137
2026,A,0,Sudáfrica,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_a.php,2026-03-16T22:47:12.491137
2026,B,0,Canadá,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_b.php,2026-03-16T22:47:14.048068
2026,B,0,Catar,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_b.php,2026-03-16T22:47:14.048068
2026,B,0,Suiza,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_b.php,2026-03-16T22:47:14.048068
2026,C,0,Brasil,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_c.php,2026-03-16T22:47:15.363365
2026,C,0,Escocia,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_c.php,2026-03-16T22:47:15.363365
2026,C,0,Haití,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_c.php,2026-03-16T22:47:15.363365
2026,C,0,Marruecos,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_c.php,2026-03-16T22:47:15.363365
2026,D,0,Australia,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_d.php,2026-03-16T22:47:17.444283
2026,D,0,Estados Unidos,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_d.php,2026-03-16T22:47:17.444283
2026,D,0,Paraguay,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_d.php,2026-03-16T22:47:17.444283
2026,E,0,Alemania,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_e.php,2026-03-16T22:47:19.770704
2026,E,0,Costa de Marfil,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_e.php,2026-03-16T22:47:19.770704
2026,E,0,Curazao,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_e.php,2026-03-16T22:47:19.770704
2026,E,0,Ecuador,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_e.php,2026-03-16T22:47:19.770704
2026,F,0,Japón,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_f.php,2026-03-16T22:47:20.846396
2026,F,0,Paises Bajos,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_f.php,2026-03-16T22:47:20.846396
2026,F,0,Túnez,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_f.php,2026-03-16T22:47:20.846396
2026,G,0,Bélgica,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_g.php,2026-03-16T22:47:22.213400
2026,G,0,Egipto,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_g.php,2026-03-16T22:47:22.213400
2026,G,0,Irán,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_g.php,2026-03-16T22:47:22.213400
2026,G,0,Nueva Zelanda,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_g.php,2026-03-16T22:47:22.213400
2026,H,0,Arabia Saudita,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_h.php,2026-03-16T22:47:24.316221
2026,H,0,Cabo Verde,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_h.php,2026-03-16T22:47:24.316221
2026,H,0,España,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_h.php,2026-03-16T22:47:24.316221
2026,H,0,Uruguay,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_h.php,2026-03-16T22:47:24.316221
2026,I,0,Francia,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_i.php,2026-03-16T22:47:25.654538
2026,I,0,Noruega,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_i.php,2026-03-16T22:47:25.654538
2026,I,0,Senegal,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_i.php,2026-03-16T22:47:25.654538
2026,J,0,Argelia,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_j.php,2026-03-16T22:47:27.727505
2026,J,0,Argentina,0,0,0,0,0,0,0,0,,https://www.losmundialesdefutbol.com/mundiales/2026_grupo_j.php,2026-03-16T22:47:27.727505
