mundial,num,fecha,etapa,local,goles_local,goles_visitante,visitante,url_partido,url,fecha_scraping
2022,1,20-Nov-2022,"1ra Ronda, Grupo A",Catar,0,2,Ecuador,../partidos/2022_catar_ecuador.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,2,21-Nov-2022,"1ra Ronda, Grupo B",Inglaterra,6,2,Irán,../partidos/2022_inglaterra_iran.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,3,21-Nov-2022,"1ra Ronda, Grupo A",Senegal,0,2,Paises Bajos,../partidos/2022_senegal_holanda.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,4,21-Nov-2022,"1ra Ronda, Grupo B",Estados Unidos,1,1,Gales,../partidos/2022_estados_unidos_gales.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,5,22-Nov-2022,"1ra Ronda, Grupo C",Argentina,1,2,Arabia Saudita,../partidos/2022_argentina_arabia_saudita.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,6,22-Nov-2022,"1ra Ronda, Grupo D",Dinamarca,0,0,Túnez,../partidos/2022_dinamarca_tunez.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,7,22-Nov-2022,"1ra Ronda, Grupo C",México,0,0,Polonia,../partidos/2022_mexico_polonia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,8,22-Nov-2022,"1ra Ronda, Grupo D",Francia,4,1,Australia,../partidos/2022_francia_australia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,9,23-Nov-2022,"1ra Ronda, Grupo F",Marruecos,0,0,Croacia,../partidos/2022_marruecos_croacia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,10,23-Nov-2022,"1ra Ronda, Grupo E",Alemania,1,2,Japón,../partidos/2022_alemania_japon.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,11,23-Nov-2022,"1ra Ronda, Grupo E",España,7,0,Costa Rica,../partidos/2022_espana_costa_rica.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,12,23-Nov-2022,"1ra Ronda, Grupo F",Bélgica,1,0,Canadá,../partidos/2022_belgica_canada.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,13,24-Nov-2022,"1ra Ronda, Grupo G",Suiza,1,0,Camerún,../partidos/2022_suiza_camerun.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,14,24-Nov-2022,"1ra Ronda, Grupo H",Uruguay,0,0,Corea del Sur,../partidos/2022_uruguay_corea_del_sur.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,15,24-Nov-2022,"1ra Ronda, Grupo H",Portugal,3,2,Ghana,../partidos/2022_portugal_ghana.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,16,24-Nov-2022,"1ra Ronda, Grupo G",Brasil,2,0,Serbia,../partidos/2022_brasil_serbia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,17,25-Nov-2022,"1ra Ronda, Grupo B",Gales,0,2,Irán,../partidos/2022_gales_iran.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,18,25-Nov-2022,"1ra Ronda, Grupo A",Catar,1,3,Senegal,../partidos/2022_catar_senegal.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,19,25-Nov-2022,"1ra Ronda, Grupo A",Paises Bajos,1,1,Ecuador,../partidos/2022_holanda_ecuador.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,20,25-Nov-2022,"1ra Ronda, Grupo B",Inglaterra,0,0,Estados Unidos,../partidos/2022_inglaterra_estados_unidos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,21,26-Nov-2022,"1ra Ronda, Grupo D",Túnez,0,1,Australia,../partidos/2022_tunez_australia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,22,26-Nov-2022,"1ra Ronda, Grupo C",Polonia,2,0,Arabia Saudita,../partidos/2022_polonia_arabia_saudita.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,23,26-Nov-2022,"1ra Ronda, Grupo D",Francia,2,1,Dinamarca,../partidos/2022_francia_dinamarca.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,24,26-Nov-2022,"1ra Ronda, Grupo C",Argentina,2,0,México,../partidos/2022_argentina_mexico.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,25,27-Nov-2022,"1ra Ronda, Grupo E",Japón,0,1,Costa Rica,../partidos/2022_japon_costa_rica.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,26,27-Nov-2022,"1ra Ronda, Grupo F",Bélgica,0,2,Marruecos,../partidos/2022_belgica_marruecos.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,27,27-Nov-2022,"1ra Ronda, Grupo F",Croacia,4,1,Canadá,../partidos/2022_croacia_canada.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,28,27-Nov-2022,"1ra Ronda, Grupo E",España,1,1,Alemania,../partidos/2022_espana_alemania.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,29,28-Nov-2022,"1ra Ronda, Grupo G",Camerún,3,3,Serbia,../partidos/2022_camerun_serbia.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,30,28-Nov-2022,"1ra Ronda, Grupo H",Corea del Sur,2,3,Ghana,../partidos/2022_corea_del_sur_ghana.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,31,28-Nov-2022,"1ra Ronda, Grupo G",Brasil,1,0,Suiza,../partidos/2022_brasil_suiza.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
2022,32,28-Nov-2022,"1ra Ronda, Grupo H",Portugal,2,0,Uruguay,../partidos/2022_portugal_uruguay.php,https://www.losmundialesdefutbol.com/mundiales/2022_resultados.php,2026-03-16T22:23:56.638457
