url_original,id_jugador
miroslav_klose.php,1
ronaldo.php,2
gerd_mueller.php,3
just_fontaine.php,4
lionel_messi.php,5
kylian_mbappe.php,6
pele.php,7
juergen_klinsmann.php,8
cristiano_ronaldo.php,9
robert_lewandowski.php,10
luka_modric.php,11
diego_maradona.php,12
dani_alves.php,13
olivier_giroud.php,14
neymar.php,15
ronaldinho.php,16
karim_benzema.php,17
gabriel_batistuta.php,18
thomas_mueller.php,19
paulo_dybala.php,20
enner_valencia.php,21
james_rodriguez.php,22
nicolas_otamendi.php,23
eusebio.php,24
harry_kane.php,25
lothar_matthaeus.php,26
luis_suarez.php,27
raul_jimenez.php,28
guillermo_ochoa.php,29
gianluigi_buffon.php,30
sergio_aguero.php,31
pepe.php,32
angel_di_maria.php,33
mario_kempes.php,34
zinedine_zidane.php,35
alvaro_morata.php,36
hugo_sanchez.php,37
juan_roman_riquelme.php,38
sergio_busquets.php,39
thiago_silva.php,40
antoine_griezmann.php,41
diego_godin.php,42
pablo_aimar.php,43
cuauhtemoc_blanco.php,44
javier_hernandez.php,45
edinson_cavani.php,46
jordi_alba.php,47
carlos_vela.php,48
carlos_tevez.php,49
zlatan_ibrahimovic.php,50
diego_forlan.php,51
helmut_rahn.php,52
uwe_seeler.php,53
sami_al_jaber.php,54
salem_al_dawsari.php,55
fuad_amin.php,56
said_al_owayran.php,57
youssef_al_tunayan.php,58
saleh_al_shehri.php,59
salah_assad.php,60
abdelmoumene_djabou.php,61
islam_slimani.php,62
rafik_halliche.php,63
rabah_madjer.php,64
djamel_zidane.php,65
guillermo_stabile.php,66
gonzalo_higuain.php,67
tim_cahill.php,68
mile_jedinak.php,69
brett_holman.php,70
harry_kewell.php,71
mathew_leckie.php,72
craig_moore.php,73
erich_probst.php,74
hans_krankl.php,75
walter_schachner.php,76
ernst_stojaspal.php,77
theodor_wagner.php,78
ernst_ocwirk.php,79
romelu_lukaku.php,80
marc_wilmots.php,81
jan_ceulemans.php,82
nico_claesen.php,83
eden_hazard.php,84
enzo_scifo.php,85
ademir.php,86
jairzinho.php,87
vava.php,88
rivaldo.php,89
alphonso_davies.php,90
mohammed_muntari.php,91
yerry_mina.php,92
jackson_martinez.php,93
juan_quintero.php,94
bernardo_redin.php,95
adolfo_valencia.php,96
jung_hwan_ahn.php,97
ji_sung_park.php,98
heung_min_son.php,99
chung_yong_lee.php,100
jung_soo_lee.php,101
sang_chul_yoo.php,102
wilfried_bony.php,103
aruna_dindane.php,104
didier_drogba.php,105
gervinho.php,106
romaric.php,107
yaya_toure.php,108
ivan_perisic.php,109
davor_suker.php,110
mario_mandzukic.php,111
andrej_kramaric.php,112
ivica_olic.php,113
robert_prosinecki.php,114
agustin_delgado.php,115
carlos_tenorio.php,116
moises_caicedo.php,117
ivan_kaviedes.php,118
edison_mendez.php,119
abdulrahman_fawzi.php,120
mohamed_salah.php,121
magdy_abedelghani.php,122
joe_jordan.php,123
kenny_dalglish.php,124
archie_gemmill.php,125
john_wark.php,126
graeme_souness.php,127
gordon_strachan.php,128
david_villa.php,129
emilio_butragueno.php,130
fernando_hierro.php,131
fernando_morientes.php,132
raul.php,133
zarra.php,134
landon_donovan.php,135
clint_dempsey.php,136
bert_patenaude.php,137
brian_mcbride.php,138
haji_wright.php,139
eric_wynalda.php,140
thierry_henry.php,141
michel_platini.php,142
asamoah_gyan.php,143
andre_ayew.php,144
mohammed_kudus.php,145
sulley_muntari.php,146
haminu_draman.php,147
mohammed_salisu.php,148
emmanuel_sanon.php,149
gary_lineker.php,150
geoff_hurst.php,151
bobby_charlton.php,152
michael_owen.php,153
bukayo_saka.php,154
mehdi_taremi.php,155
reza_ghoochannejhad.php,156
yahya_golmohammadi.php,157
mehdi_mahdavikia.php,158
ramin_rezaeian.php,159
hassan_rowshan.php,160
keisuke_honda.php,161
ritsu_doan.php,162
junichi_inamoto.php,163
takashi_inui.php,164
shinji_okazaki.php,165
ao_tanaka.php,166
youssef_en_nesyri.php,167
salaheddine_bassir.php,168
abdeljalil_hadda.php,169
abdelrazzak_khairi.php,170
romain_saiss.php,171
hakim_ziyech.php,172
luis_hernandez.php,173
rafael_marquez.php,174
manuel_rosas.php,175
javier_valdivia.php,176
kjetil_rekdal.php,177
arne_brustad.php,178
dan_eggen.php,179
havard_flo.php,180
tore_andre_flo.php,181
winston_reid.php,182
shane_smeltz.php,183
steve_sumner.php,184
steve_wooddin.php,185
johnny_rep.php,186
dennis_bergkamp.php,187
rob_rensenbrink.php,188
arjen_robben.php,189
wesley_sneijder.php,190
robin_van_persie.php,191
felipe_baloy.php,192
nelson_cuevas.php,193
florencio_amarilla.php,194
roberto_cabanas.php,195
jose_parodi.php,196
jorge_romero.php,197
julio_cesar_romero.php,198
pauleta.php,199
jose_augusto.php,200
goncalo_ramos.php,201
jose_torres.php,202
bouba_diop.php,203
henri_camara.php,204
sadio_mane.php,205
mbaye_niang.php,206
ismaila_sarr.php,207
moussa_wague.php,208
shaun_bartlett.php,209
benni_mccarthy.php,210
katlego_mphela.php,211
siyabonga_nomvethe.php,212
lucas_radebe.php,213
siphiwe_tshabalala.php,214
sepp_huegi.php,215
xherdan_shaqiri.php,216
andre_abegglen.php,217
robert_ballaman.php,218
jackie_fatton.php,219
leopold_kielholz.php,220
wahbi_khazri.php,221
zied_jaziri.php,222
ali_kaabi.php,223
jaouhar_mnari.php,224
ferjani_sassi.php,225
skander_souayah.php,226
oscar_miguez.php,227
pedro_cea.php,228
juan_schiaffino.php,229
julian_alvarez.php,230
cody_gakpo.php,231
marcus_rashford.php,232
richarlison.php,233
vincent_aboubakar.php,234
gue_sung_cho.php,235
giorgian_de_arrascaeta.php,236
breel_embolo.php,237
bruno_fernandes.php,238
niclas_fullkrug.php,239
kai_havertz.php,240
rafael_leao.php,241
aleksandar_mitrovic.php,242
ferran_torres.php,243
wout_weghorst.php,244
zakaria_aboukhlal.php,245
manuel_akanji.php,246
takuma_asano.php,247
marco_asensio.php,248
gareth_bale.php,249
michy_batshuayi.php,250
jude_bellingham.php,251
daley_blind.php,252
osman_bukari.php,253
casemiro.php,254
jean_charles_castelletto.php,255
luis_chavez.php,256
rouzbeh_cheshmi.php,257
eric_choupo_moting.php,258
andreas_christensen.php,259
achraf_dari.php,260
frenkie_de_jong.php,261
memphis_depay.php,262
