id_mundial,grupo,id_seleccion,posicion,pj,pg,pe,pp,gf,gc,dif,pts,clasificado
23,A,24,0,0,0,0,0,0,0,0,0,0
23,A,62,0,0,0,0,0,0,0,0,0,0
23,A,80,0,0,0,0,0,0,0,0,0,0
23,B,17,0,0,0,0,0,0,0,0,0,0
23,B,18,0,0,0,0,0,0,0,0,0,0
23,B,82,0,0,0,0,0,0,0,0,0,0
23,C,12,0,0,0,0,0,0,0,0,0,0
23,C,35,0,0,0,0,0,0,0,0,0,0
23,C,44,0,0,0,0,0,0,0,0,0,0
23,C,61,0,0,0,0,0,0,0,0,0,0
23,D,8,0,0,0,0,0,0,0,0,0,0
23,D,39,0,0,0,0,0,0,0,0,0,0
23,D,68,0,0,0,0,0,0,0,0,0,0
23,E,1,0,0,0,0,0,0,0,0,0,0
23,E,26,0,0,0,0,0,0,0,0,0,0
23,E,29,0,0,0,0,0,0,0,0,0,0
23,E,31,0,0,0,0,0,0,0,0,0,0
23,F,58,0,0,0,0,0,0,0,0,0,0
23,F,66,0,0,0,0,0,0,0,0,0,0
23,F,86,0,0,0,0,0,0,0,0,0,0
23,G,14,0,0,0,0,0,0,0,0,0,0
23,G,32,0,0,0,0,0,0,0,0,0,0
23,G,53,0,0,0,0,0,0,0,0,0,0
23,G,65,0,0,0,0,0,0,0,0,0,0
23,H,5,0,0,0,0,0,0,0,0,0,0
23,H,15,0,0,0,0,0,0,0,0,0,0
23,H,38,0,0,0,0,0,0,0,0,0,0
23,H,89,0,0,0,0,0,0,0,0,0,0
23,I,40,0,0,0,0,0,0,0,0,0,0
23,I,64,0,0,0,0,0,0,0,0,0,0
23,I,77,0,0,0,0,0,0,0,0,0,0
23,J,6,0,0,0,0,0,0,0,0,0,0
23,J,7,0,0,0,0,0,0,0,0,0,0
23,J,9,0,0,0,0,0,0,0,0,0,0
23,J,59,0,0,0,0,0,0,0,0,0,0
23,K,22,0,0,0,0,0,0,0,0,0,0
23,K,71,0,0,0,0,0,0,0,0,0,0
23,K,90,0,0,0,0,0,0,0,0,0,0
23,L,27,0,0,0,0,0,0,0,0,0,0
23,L,42,0,0,0,0,0,0,0,0,0,0
23,L,49,0,0,0,0,0,0,0,0,0,0
23,L,67,0,0,0,0,0,0,0,0,0,0
22,A,66,1,3,2,1,0,5,1,4,7,1
22,A,77,2,3,2,0,1,5,4,1,6,1
22,A,31,3,3,1,1,1,4,3,1,4,0
22,A,18,4,3,0,0,3,1,7,-6,0,0
22,B,49,1,3,2,1,0,9,2,7,7,1
22,B,39,2,3,1,2,0,2,1,1,5,1
22,B,53,3,3,1,0,2,4,7,-3,3,0
22,B,41,4,3,0,1,2,1,6,-5,1,0
22,C,7,1,3,2,0,1,5,2,3,6,1
22,C,70,2,3,1,1,1,2,2,0,4,1
22,C,62,3,3,1,1,1,2,3,-1,4,0
22,C,5,4,3,1,0,2,3,5,-2,3,0
22,D,40,1,3,2,0,1,6,3,3,6,1
22,D,8,2,3,2,0,1,3,4,-1,6,1
22,D,86,3,3,1,1,1,1,1,0,4,0
22,D,30,4,3,0,1,2,1,3,-2,1,0
22,E,58,1,3,2,0,1,4,3,1,6,1
22,E,38,2,3,1,1,1,9,3,6,4,1
22,E,1,3,3,1,1,1,6,5,1,4,0
22,E,25,4,3,1,0,2,3,11,-8,3,0
22,F,61,1,3,2,1,0,4,1,3,7,1
22,F,27,2,3,1,2,0,4,1,3,5,1
22,F,14,3,3,1,1,1,1,2,-1,4,0
22,F,17,4,3,0,0,3,2,7,-5,0,0
22,G,12,1,3,2,0,1,3,1,2,6,1
22,G,82,2,3,2,0,1,4,3,1,6,1
22,G,16,3,3,1,1,1,4,4,0,4,0
22,G,78,4,3,0,1,2,5,8,-3,1,0
22,H,71,1,3,2,0,1,6,4,2,6,1
22,H,24,2,3,1,1,1,4,4,0,4,1
22,H,89,3,3,1,1,1,2,2,0,4,0
22,H,42,4,3,1,0,2,5,7,-2,3,0
1,1,7,1,3,3,0,0,10,4,6,6,1
1,1,20,2,3,2,0,1,5,3,2,4,0
1,1,40,3,3,1,0,2,4,3,1,2,0
1,1,62,4,3,0,0,3,4,13,-9,0,0
1,2,91,1,2,2,0,0,6,1,5,4,1
1,2,12,2,2,1,0,1,5,2,3,2,0
1,2,10,3,2,0,0,2,0,8,-8,0,0
1,3,89,1,2,2,0,0,5,0,5,4,1
1,3,75,2,2,1,0,1,3,5,-2,2,0
1,3,69,3,2,0,0,2,1,4,-3,0,0
1,4,39,1,2,2,0,0,6,0,6,4,1
1,4,68,2,2,1,0,1,1,3,-2,2,0
1,4,14,3,2,0,0,2,0,4,-4,0,0
4,1,12,1,3,2,1,0,8,2,6,5,1
4,1,91,2,3,2,0,1,7,3,4,4,0
4,1,82,3,3,1,1,1,4,6,-2,3,0
4,1,62,4,3,0,0,3,2,10,-8,0,0
4,2,38,1,3,3,0,0,6,1,5,6,1
4,2,49,2,3,1,0,2,2,2,0,2,0
4,2,20,3,3,1,0,2,5,6,-1,2,0
4,2,39,4,3,1,0,2,4,8,-4,2,0
4,3,81,1,2,1,1,0,5,4,1,3,1
4,3,56,2,2,1,0,1,4,3,1,2,0
4,3,68,3,2,0,1,1,2,4,-2,1,0
4,4,89,1,1,1,0,0,8,0,8,2,1
4,4,10,2,1,0,0,1,0,8,-8,0,0
