id_jugador_camiseta,id_jugador,id_mundial,numero
1,1,,11
2,3,,13
3,4,,17
4,6,,10
5,7,,10
6,8,,18
7,10,,9
8,12,,10
9,14,,9
10,15,,10
11,18,,9
12,19,,13
13,20,,21
14,21,,13
15,22,,10
16,23,,15
17,24,,13
18,25,,9
19,26,,18
20,27,,9
21,28,,9
22,29,,13
23,31,,16
24,34,,13
25,35,,10
26,36,,7
27,38,,10
28,40,,15
29,42,,3
30,43,,16
31,45,,14
32,47,,18
33,48,,11
34,49,,11
35,56,,6
36,57,,10
37,58,,15
38,59,,11
39,60,,7
40,61,,18
41,62,,13
42,63,,5
43,64,,11
44,65,,14
45,67,,9
46,68,,4
47,69,,15
48,70,,14
49,71,,10
50,72,,7
51,73,,3
52,74,,10
53,75,,9
54,77,,21
55,78,,9
56,79,,5
57,80,,9
58,81,,21
59,82,,11
60,84,,10
61,85,,8
62,89,,10
63,90,,19
64,91,,9
65,92,,13
66,93,,21
67,94,,20
68,95,,11
69,100,,17
70,101,,14
71,102,,6
72,103,,12
73,104,,15
74,105,,11
75,106,,10
76,108,,19
77,109,,4
78,111,,17
79,112,,9
80,113,,18
81,115,,11
82,117,,23
83,121,,10
84,122,,8
85,124,,8
86,125,,15
87,126,,10
88,128,,7
89,130,,9
90,136,,8
91,138,,20
92,139,,19
93,140,,11
94,141,,12
95,143,,3
96,145,,20
97,146,,11
98,147,,23
99,148,,4
100,149,,20
101,150,,10
102,151,,10
103,152,,20
104,154,,17
105,156,,16
106,157,,4
107,158,,2
108,159,,23
109,160,,10
110,162,,8
111,163,,5
112,164,,14
113,165,,9
114,166,,17
115,167,,19
116,168,,14
117,169,,9
118,170,,17
119,171,,6
120,172,,7
121,173,,15
122,174,,4
123,176,,19
124,177,,10
125,180,,17
126,181,,9
127,182,,4
128,183,,9
129,184,,10
130,185,,9
131,186,,16
132,189,,11
133,192,,23
134,193,,23
135,194,,11
136,195,,9
137,196,,8
138,197,,9
139,198,,8
140,199,,9
141,200,,12
142,201,,26
143,202,,18
144,203,,19
145,204,,7
146,205,,10
147,206,,19
148,207,,18
149,208,,22
150,209,,9
151,210,,17
152,211,,9
153,213,,19
154,214,,8
155,215,,18
156,216,,23
157,218,,16
158,219,,17
159,221,,10
160,222,,5
161,223,,3
162,224,,12
163,225,,13
164,226,,15
165,227,,9
166,229,,10
167,230,,9
168,231,,8
169,233,,9
170,235,,9
171,236,,10
172,237,,7
173,239,,9
174,240,,7
175,241,,15
176,242,,9
177,243,,11
178,244,,19
179,245,,14
180,246,,5
181,247,,18
182,249,,11
183,251,,22
184,253,,11
185,254,,5
186,255,,21
187,256,,24
188,258,,13
189,259,,6
190,260,,20
191,261,,21
192,263,,9
193,264,,19
194,265,,20
195,266,,15
196,267,,22
197,268,,11
198,269,,24
199,270,,20
200,271,,8
201,272,,4
202,273,,9
203,274,,10
204,275,,23
205,276,,7
206,277,,5
207,278,,21
208,279,,20
209,281,,22
210,282,,21
211,283,,11
212,285,,14
213,286,,12
214,287,,3
215,288,,14
216,289,,20
217,290,,25
218,291,,7
219,292,,20
220,293,,20
221,294,,26
222,295,,21
223,296,,18
224,297,,8
225,298,,7
226,299,,2
227,300,,16
228,301,,10
229,302,,14
230,303,,19
231,305,,8
232,306,,17
233,307,,3
234,308,,20
235,309,,18
236,310,,21
237,322,,8
238,323,,13
239,324,,9
240,325,,11
241,329,,8
242,331,,7
243,333,,10
244,334,,16
245,335,,13
246,336,,17
247,338,,11
248,341,,9
249,342,,19
250,343,,10
251,344,,21
252,345,,9
253,346,,9
254,347,,8
255,348,,19
256,349,,15
257,350,,11
258,351,,21
259,354,,18
260,355,,9
261,356,,6
262,359,,8
263,360,,16
264,362,,18
265,364,,11
266,365,,9
267,366,,23
268,367,,19
269,368,,22
270,369,,4
271,370,,7
272,371,,11
273,372,,5
274,373,,7
275,374,,20
276,375,,10
277,376,,17
278,377,,6
279,379,,5
280,380,,8
281,381,,13
282,383,,18
283,384,,22
284,385,,11
285,386,,7
286,387,,19
287,388,,15
288,390,,9
289,391,,8
290,392,,2
291,393,,11
292,394,,10
293,395,,8
294,397,,17
295,398,,9
296,399,,8
297,400,,22
298,402,,13
299,403,,10
300,406,,10
301,407,,7
302,408,,22
303,409,,6
304,410,,2
305,411,,14
306,412,,15
307,413,,11
308,414,,4
309,417,,2
310,419,,20
311,420,,7
312,422,,8
313,423,,11
314,424,,20
315,425,,16
316,426,,10
317,427,,20
318,428,,12
319,429,,5
320,430,,4
321,431,,5
322,432,,21
323,433,,19
324,434,,10
325,435,,20
326,436,,14
327,437,,1
328,439,,9
329,440,,4
330,442,,5
331,443,,11
332,444,,10
333,445,,7
334,446,,14
335,447,,20
336,448,,7
337,449,,9
338,450,,15
339,451,,11
340,452,,6
341,454,,13
342,457,,6
343,458,,11
344,459,,10
345,460,,18
346,463,,16
347,464,,18
348,465,,9
349,467,,9
350,468,,13
351,470,,6
352,471,,9
353,472,,13
354,473,,11
355,475,,13
356,476,,21
357,477,,14
358,478,,18
359,481,,17
360,483,,19
361,484,,19
362,485,,8
363,487,,7
364,488,,22
365,489,,9
366,490,,18
367,491,,9
368,492,,21
369,494,,10
370,495,,18
371,496,,11
372,497,,2
373,498,,20
374,499,,1
375,500,,11
376,501,,9
377,502,,7
378,506,,19
379,507,,12
380,508,,8
381,509,,21
382,511,,11
383,512,,10
384,514,,4
385,515,,19
386,516,,4
387,517,,19
388,519,,10
389,521,,16
390,522,,3
391,523,,4
392,524,,11
393,525,,6
394,527,,2
395,528,,8
396,529,,14
397,530,,4
398,531,,8
399,532,,20
400,533,,20
401,534,,8
402,536,,9
403,537,,9
404,540,,16
405,541,,20
406,542,,18
407,543,,9
408,544,,10
409,546,,16
410,547,,5
411,548,,18
412,549,,16
413,550,,19
414,551,,14
415,552,,11
416,553,,15
417,554,,15
418,556,,13
419,557,,1
420,558,,16
421,559,,15
422,560,,7
423,562,,7
424,563,,19
425,564,,19
426,565,,9
427,566,,18
428,567,,23
429,568,,10
430,569,,7
431,570,,9
432,571,,4
433,572,,9
434,573,,20
435,575,,15
436,576,,10
