id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
1,https://www.losmundialesdefutbol.com/jugadores/miroslav_klose.php,Miroslav Klose,,9 de junio de 1978,,Delantero,1,182,,4,24,16,0.67
2,https://www.losmundialesdefutbol.com/jugadores/ronaldo.php,Ronaldo,Ronaldo Luís Nazário de Lima,22 de septiembre de 1976,"Rio de Janeiro , Río de Janeiro , Brasil",Delantero,12,183,"Il Fenomeno, R9",4,19,15,0.79
3,https://www.losmundialesdefutbol.com/jugadores/gerd_mueller.php,Gerd Mueller,,3 de noviembre de 1945,,Delantero,2,,,2,13,14,1.08
4,https://www.losmundialesdefutbol.com/jugadores/just_fontaine.php,Just Fontaine,,18 de agosto de 1933,,Delantero,40,,,1,6,13,2.17
5,https://www.losmundialesdefutbol.com/jugadores/lionel_messi.php,Lionel Messi,Lionel Andrés Messi,24 de junio de 1987,"Rosario, Santa Fe, Argentina",Delantero,7,170,"La Pulga, Leo, Lio",5,26,13,0.50
6,https://www.losmundialesdefutbol.com/jugadores/kylian_mbappe.php,Kylian Mbappé,Kylian Mbappé Lottin,20 de diciembre de 1998,"París, Francia",Delantero,40,178,,2,14,12,0.86
7,https://www.losmundialesdefutbol.com/jugadores/pele.php,Pelé,Edson Arantes do Nascimento,23 de octubre de 1940,"Três Corações, Minas Gerais, Brasil",Delantero,12,173,"Pelé, El Rey, O Rei, La Perla Negra",4,14,12,0.86
8,https://www.losmundialesdefutbol.com/jugadores/juergen_klinsmann.php,Juergen Klinsmann,,30 de julio de 1964,,Delantero,2,,,3,17,11,0.65
9,https://www.losmundialesdefutbol.com/jugadores/cristiano_ronaldo.php,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,5 de febrero de 1985,"Funchal, Madeira, Portugal",Delantero,71,187,"CR7, el deseado, el bicho",5,22,8,0.36
10,https://www.losmundialesdefutbol.com/jugadores/robert_lewandowski.php,Robert Lewandowski,Robert Lewandowski,21 de agosto de 1988,"Varsovia, Polonia",Delantero,70,185,Lewy,2,7,2,0.29
11,https://www.losmundialesdefutbol.com/jugadores/luka_modric.php,Luka Modric,Luka Modrić,9 de septiembre de 1985,"Zadar, Croacia",Mediocampista,27,172,"'El Cruyff de los Balcanes', 'Vinagre'",4,19,2,0.11
12,https://www.losmundialesdefutbol.com/jugadores/diego_maradona.php,Diego Maradona,Diego Armando Maradona,30 de octubre de 1960,"Lanús, Buenos Aires, Argentina",Mediocampista,7,165,"El Diez, Pelusa, El Pibe de Oro",4,21,8,0.38
13,https://www.losmundialesdefutbol.com/jugadores/dani_alves.php,Dani Alves,Daniel Alves da Silva,6 de mayo de 1983,"Juazeiro, Bahía, Brasil",Defensor,12,172,,3,11,0,0
14,https://www.losmundialesdefutbol.com/jugadores/olivier_giroud.php,Olivier Giroud,Olivier Giroud,30 de septiembre de 1986,,Delantero,40,193,,3,18,5,0.28
15,https://www.losmundialesdefutbol.com/jugadores/neymar.php,Neymar Jr.,Neymar da Silva Santos Júnior,5 de febrero de 1992,"Mogi das Cruzes, San Pablo, Brasil",Delantero,12,175,,3,13,8,0.62
16,https://www.losmundialesdefutbol.com/jugadores/ronaldinho.php,Ronaldinho,Ronaldo de Assis Moreira,21 de marzo de 1980,"Porto Alegre, Río Grande del Sur, Brasil",Mediocampista,12,183,"Ronaldinho,El Brujo de Porto Alegre, Ronaldinho Gaúcho",2,10,2,0.20
17,https://www.losmundialesdefutbol.com/jugadores/karim_benzema.php,Karim Benzema,Karim Mostafa Benzema,19 de diciembre de 1987,"Lyon, Francia",Delantero,40,185,,2,5,3,0.60
18,https://www.losmundialesdefutbol.com/jugadores/gabriel_batistuta.php,Gabriel Batistuta,Gabriel Omar Batistuta,1 de febrero de 1969,"Reconquista, Santa Fe, Argentina",Delantero,7,185,"el Bati, el Batigol",3,12,10,0.83
19,https://www.losmundialesdefutbol.com/jugadores/thomas_mueller.php,Thomas Müller,Thomas Müller,13 de septiembre de 1989,,"Delantero, Mediocampista",1,185,,4,19,10,0.53
20,https://www.losmundialesdefutbol.com/jugadores/paulo_dybala.php,Paulo Dybala,Paulo Exequiel Dybala,15 de noviembre de 1993,"Laguna Larga, Córdoba, Argentina",Delantero,7,177,La Joya,2,3,0,0
21,https://www.losmundialesdefutbol.com/jugadores/enner_valencia.php,Enner Valencia,,4 de noviembre de 1989,,Delantero,31,177,,2,6,6,1.00
22,https://www.losmundialesdefutbol.com/jugadores/james_rodriguez.php,James Rodríguez,James David Rodríguez Rubio,12 de julio de 1991,"Cúcuta, Colombia",Mediocampista,22,180,,2,8,6,0.75
23,https://www.losmundialesdefutbol.com/jugadores/nicolas_otamendi.php,Nicolas Otamendi,Nicolás Hernán Gonzalo Otamendi,12 de febrero de 1988,,Defensor,7,183,,3,14,0,0
24,https://www.losmundialesdefutbol.com/jugadores/eusebio.php,Eusebio,,25 de enero de 1942,,Delantero,71,,,1,6,9,1.50
25,https://www.losmundialesdefutbol.com/jugadores/harry_kane.php,Harry Kane,Harry Edward Kane,28 de julio de 1993,"Londres, Inglaterra",Delantero,49,188,"'Huracán', 'Ciudadano Kane'",2,11,8,0.73
26,https://www.losmundialesdefutbol.com/jugadores/lothar_matthaeus.php,Lothar Matthaeus,,21 de marzo de 1961,,Mediocampista,2,,,5,25,6,0.24
27,https://www.losmundialesdefutbol.com/jugadores/luis_suarez.php,Luis Suarez,Luis Alberto Suárez Díaz,24 de enero de 1987,"Salto, Uruguay",Delantero,89,182,,4,16,7,0.44
28,https://www.losmundialesdefutbol.com/jugadores/raul_jimenez.php,Raúl Jiménez,Raúl Alonso Jiménez Rodríguez,5 de mayo de 1991,,Delantero,62,188,,3,6,0,0
29,https://www.losmundialesdefutbol.com/jugadores/guillermo_ochoa.php,Guillermo Ochoa,Francisco Guillermo Ochoa Magaña,13 de julio de 1985,"Guadalajara, México",Arquero,62,185,,5,11,0,0
30,https://www.losmundialesdefutbol.com/jugadores/gianluigi_buffon.php,Gianluigi Buffon,Gianluigi Buffon,28 de enero de 1978,"Carrara, Italia",Arquero,56,191,"Gigi, Supergigi",5,14,0,0
31,https://www.losmundialesdefutbol.com/jugadores/sergio_aguero.php,Sergio Agüero,Sergio Leonel Agüero del Castillo,2 de junio de 1988,"Ciudad de Buenos Aires, Argentina",Delantero,7,170,Kun,3,12,2,0.17
32,https://www.losmundialesdefutbol.com/jugadores/pepe.php,Pepe,Kepler Laveran de Lima Ferreira,26 de febrero de 1983,"Maceió, Brasil","Defensor, Mediocampista",71,187,,4,12,2,0.17
33,https://www.losmundialesdefutbol.com/jugadores/angel_di_maria.php,Angel Di Maria,Ángel Fabián Di María Hernández,14 de febrero de 1988,"Rosario, Santa Fe, Argentina",Mediocampista,7,178,"Fideo, Flaco",4,18,3,0.17
34,https://www.losmundialesdefutbol.com/jugadores/mario_kempes.php,Mario Kempes,,15 de julio de 1954,,Delantero,7,,,3,18,6,0.33
35,https://www.losmundialesdefutbol.com/jugadores/zinedine_zidane.php,Zinedine Zidane,Zinedine Zidane,23 de junio de 1972,"Marsella, Francia",Mediocampista,40,185,Zizou,3,12,5,0.42
36,https://www.losmundialesdefutbol.com/jugadores/alvaro_morata.php,Álvaro Morata,Álvaro Borja Morata Martín,23 de octubre de 1992,"Madrid, Madrid, España",Delantero,38,190,,1,4,3,0.75
37,https://www.losmundialesdefutbol.com/jugadores/hugo_sanchez.php,Hugo Sánchez,Hugo Sánchez Márquez,11 de julio de 1958,"México D.F., México",Delantero,62,175,"Hugol, Pentapichichi",3,8,1,0.13
38,https://www.losmundialesdefutbol.com/jugadores/juan_roman_riquelme.php,Juan Román Riquelme,Juan Román Riquelme,24 de junio de 1978,"San Fernando, Buenos Aires, Argentina",Mediocampista,7,182,"El Torero, el último 10",1,5,0,0
39,https://www.losmundialesdefutbol.com/jugadores/sergio_busquets.php,Sergio Busquets,Sergio Busquets Burgos,16 de julio de 1988,"Sabadell, Barcelona, España",Mediocampista,38,189,,4,17,0,0
40,https://www.losmundialesdefutbol.com/jugadores/thiago_silva.php,Thiago Silva,Thiago Emiliano da Silva,22 de septiembre de 1984,,Defensor,12,183,,4,15,2,0.13
41,https://www.losmundialesdefutbol.com/jugadores/antoine_griezmann.php,Antoine Griezmann,Antoine Griezmann,21 de marzo de 1991,"Mâcon, Francia","Delantero, Mediocampista",40,173,,3,19,4,0.21
42,https://www.losmundialesdefutbol.com/jugadores/diego_godin.php,Diego Godin,Diego Roberto Godín Leal,16 de febrero de 1986,,Defensor,89,185,,4,16,1,0.06
43,https://www.losmundialesdefutbol.com/jugadores/pablo_aimar.php,Pablo Aimar,,3 de noviembre de 1979,,Mediocampista,7,170,,2,6,0,0
