id_partido,source_url,id_mundial,numero_partido,fecha,etapa,id_local,goles_local,goles_visitante,id_visitante
1,../partidos/2022_catar_ecuador.php,22,1,20-Nov-2022,"1ra Ronda, Grupo A",18,0,2,31
2,../partidos/2022_inglaterra_iran.php,22,2,21-Nov-2022,"1ra Ronda, Grupo B",49,6,2,53
3,../partidos/2022_senegal_holanda.php,22,3,21-Nov-2022,"1ra Ronda, Grupo A",77,0,2,66
4,../partidos/2022_estados_unidos_gales.php,22,4,21-Nov-2022,"1ra Ronda, Grupo B",39,1,1,41
5,../partidos/2022_argentina_arabia_saudita.php,22,5,22-Nov-2022,"1ra Ronda, Grupo C",7,1,2,5
6,../partidos/2022_dinamarca_tunez.php,22,6,22-Nov-2022,"1ra Ronda, Grupo D",30,0,0,86
7,../partidos/2022_mexico_polonia.php,22,7,22-Nov-2022,"1ra Ronda, Grupo C",62,0,0,70
8,../partidos/2022_francia_australia.php,22,8,22-Nov-2022,"1ra Ronda, Grupo D",40,4,1,8
9,../partidos/2022_marruecos_croacia.php,22,9,23-Nov-2022,"1ra Ronda, Grupo F",61,0,0,27
10,../partidos/2022_alemania_japon.php,22,10,23-Nov-2022,"1ra Ronda, Grupo E",1,1,2,58
11,../partidos/2022_espana_costa_rica.php,22,11,23-Nov-2022,"1ra Ronda, Grupo E",38,7,0,25
12,../partidos/2022_belgica_canada.php,22,12,23-Nov-2022,"1ra Ronda, Grupo F",14,1,0,17
13,../partidos/2022_suiza_camerun.php,22,13,24-Nov-2022,"1ra Ronda, Grupo G",82,1,0,16
14,../partidos/2022_uruguay_corea_del_sur.php,22,14,24-Nov-2022,"1ra Ronda, Grupo H",89,0,0,24
15,../partidos/2022_portugal_ghana.php,22,15,24-Nov-2022,"1ra Ronda, Grupo H",71,3,2,42
16,../partidos/2022_brasil_serbia.php,22,16,24-Nov-2022,"1ra Ronda, Grupo G",12,2,0,78
