id_mundial,id_seleccion,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
22,7,1,Final,14,7,4,2,1,15,8,7
22,40,2,Final,16,7,5,1,1,16,8,8
22,27,3,Partido 3er Puesto,10,7,2,4,1,8,7,1
22,61,4,Partido 3er Puesto,11,7,3,2,2,6,5,1
22,66,5,Cuartos de Final,11,5,3,2,0,10,4,6
22,49,6,Cuartos de Final,10,5,3,1,1,13,4,9
22,12,7,Cuartos de Final,10,5,3,1,1,8,3,5
22,71,8,Cuartos de Final,9,5,3,0,2,12,6,6
22,58,9,Octavos de Final,7,4,2,1,1,5,4,1
22,77,10,Octavos de Final,6,4,2,0,2,5,7,-2
22,8,11,Octavos de Final,6,4,2,0,2,4,6,-2
22,82,12,Octavos de Final,6,4,2,0,2,5,9,-4
22,38,13,Octavos de Final,5,4,1,2,1,9,3,6
22,39,14,Octavos de Final,5,4,1,2,1,3,4,-1
22,70,15,Octavos de Final,4,4,1,1,2,3,5,-2
22,24,16,Octavos de Final,4,4,1,1,2,5,8,-3
22,1,17,Grupos 1ra Ronda,4,3,1,1,1,6,5,1
22,31,18,Grupos 1ra Ronda,4,3,1,1,1,4,3,1
22,16,19,Grupos 1ra Ronda,4,3,1,1,1,4,4,0
22,89,20,Grupos 1ra Ronda,4,3,1,1,1,2,2,0
22,86,21,Grupos 1ra Ronda,4,3,1,1,1,1,1,0
22,62,22,Grupos 1ra Ronda,4,3,1,1,1,2,3,-1
22,14,23,Grupos 1ra Ronda,4,3,1,1,1,1,2,-1
22,42,24,Grupos 1ra Ronda,3,3,1,0,2,5,7,-2
22,5,25,Grupos 1ra Ronda,3,3,1,0,2,3,5,-2
22,53,26,Grupos 1ra Ronda,3,3,1,0,2,4,7,-3
22,25,27,Grupos 1ra Ronda,3,3,1,0,2,3,11,-8
22,30,28,Grupos 1ra Ronda,1,3,0,1,2,1,3,-2
22,78,29,Grupos 1ra Ronda,1,3,0,1,2,5,8,-3
