id_seleccion,nombre,mundiales_jugados,campeon_veces,subcampeon_veces,posicion_historica,partidos_jugados,partidos_ganados,partidos_empatados,partidos_perdidos,goles_favor,goles_contra,diferencia_gol
1,Alemania,21,4,1,2,112,68,21,23,232,130,102
5,Arabia Saudita,7,0,0,45,19,4,2,13,14,44,-30
6,Argelia,5,0,0,47,13,3,3,7,13,19,-6
7,Argentina,19,3,1,3,88,47,17,24,152,101,51
8,Australia,7,0,0,41,20,4,4,12,17,37,-20
9,Austria,9,0,0,21,29,12,4,13,43,47,-4
14,Bélgica,15,0,0,10,51,21,10,20,69,74,-5
12,Brasil,23,5,1,1,114,76,19,19,237,108,129
15,Cabo Verde,1,0,0,70,0,0,0,0,0,0,0
17,Canadá,3,0,0,81,6,0,0,6,2,12,-10
18,Catar,2,0,0,76,3,0,0,3,1,7,-6
22,Colombia,7,0,0,27,22,9,3,10,32,30,2
24,Corea del Sur,12,0,0,26,38,7,10,21,39,78,-39
26,Costa de Marfil,4,0,0,48,9,3,1,5,13,14,-1
27,Croacia,7,0,0,19,30,13,8,9,43,33,10
29,Curazao,1,0,0,70,0,0,0,0,0,0,0
31,Ecuador,5,0,0,38,13,5,2,6,14,14,0
32,Egipto,4,0,0,65,7,0,2,5,5,12,-7
35,Escocia,9,0,0,34,23,4,7,12,25,41,-16
38,España,17,1,1,7,67,31,17,19,108,75,33
39,Estados Unidos,12,0,0,23,37,9,8,20,40,66,-26
40,Francia,17,2,1,5,73,39,14,20,136,85,51
42,Ghana,5,0,0,36,15,5,3,7,18,23,-5
44,Haití,2,0,0,82,3,0,0,3,2,14,-12
49,Inglaterra,17,1,1,6,74,32,22,20,104,68,36
53,Irán,7,0,0,46,18,3,4,11,13,31,-18
58,Japón,8,0,0,29,25,7,6,12,25,33,-8
59,Jordania,1,0,0,70,0,0,0,0,0,0,0
61,Marruecos,7,0,0,32,23,5,7,11,20,27,-7
62,México,18,0,0,13,60,17,15,28,62,101,-39
64,Noruega,4,0,0,50,8,2,3,3,7,8,-1
65,Nueva Zelanda,3,0,0,61,6,0,3,3,4,14,-10
66,Paises Bajos,12,0,0,8,55,30,14,11,96,52,44
67,Panamá,2,0,0,78,3,0,0,3,2,11,-9
68,Paraguay,9,0,0,25,27,7,10,10,30,38,-8
71,Portugal,9,0,0,15,35,17,6,12,61,41,20
77,Senegal,4,0,0,35,12,5,3,4,16,17,-1
80,Sudáfrica,4,0,0,49,9,2,4,3,11,16,-5
82,Suiza,13,0,0,17,41,14,8,19,55,73,-18
86,Túnez,7,0,0,44,18,3,5,10,14,26,-12
89,Uruguay,15,2,1,9,59,25,13,21,89,76,13
90,Uzbekistán,1,0,0,70,0,0,0,0,0,0,0
3,Alemania Oriental,1,0,0,51,6,2,2,2,5,5,0
4,Angola,1,0,0,63,3,0,2,1,1,2,-1
10,Bolivia,3,0,0,69,6,0,1,5,1,20,-19
11,Bosnia-Herzegovina,1,0,0,59,3,1,0,2,4,4,0
13,Bulgaria,7,0,0,39,26,3,8,15,22,53,-31
16,Camerún,8,0,0,31,26,5,8,13,22,47,-25
20,Chile,9,0,0,22,33,11,7,15,40,49,-9
21,China,1,0,0,80,3,0,0,3,0,9,-9
23,Corea del Norte,2,0,0,58,7,1,1,5,6,21,-15
25,Costa Rica,6,0,0,30,21,6,5,10,22,39,-17
28,Cuba,1,0,0,57,3,1,1,1,5,12,-7
30,Dinamarca,6,0,0,24,23,9,6,8,31,29,2
33,El Salvador,2,0,0,84,6,0,0,6,1,22,-21
34,Emiratos Arabes,1,0,0,78,3,0,0,3,2,11,-9
36,Eslovaquia,1,0,0,55,4,1,1,2,5,7,-2
37,Eslovenia,2,0,0,56,6,1,1,4,5,10,-5
41,Gales,2,0,0,54,8,1,4,3,5,10,-5
43,Grecia,3,0,0,52,10,2,2,6,5,20,-15
45,Honduras,3,0,0,62,9,0,3,6,3,14,-11
46,Hungría,9,0,0,18,32,15,3,14,87,57,30
48,Indonesia,1,0,0,77,1,0,0,1,0,6,-6
50,Iraq,1,0,0,74,3,0,0,3,1,4,-3
51,Irlanda,3,0,0,42,13,2,8,3,10,10,0
52,Irlanda del Norte,3,0,0,43,13,3,5,5,13,23,-10
54,Islandia,1,0,0,66,3,0,1,2,2,5,-3
55,Israel,1,0,0,64,3,0,2,1,1,3,-2
56,Italia,18,4,1,4,83,45,21,17,128,77,51
57,Jamaica,1,0,0,60,3,1,0,2,3,9,-6
60,Kuwait,1,0,0,67,3,0,1,2,2,6,-4
63,Nigeria,6,0,0,33,21,6,3,12,23,30,-7
69,Perú,5,0,0,37,18,5,3,10,21,33,-12
70,Polonia,9,0,0,16,38,17,6,15,49,50,-1
72,RD Congo,1,0,0,83,3,0,0,3,0,14,-14
74,República Checa,9,0,0,20,33,12,5,16,47,49,-2
75,Rumania,7,0,0,28,21,8,5,8,30,32,-2
76,Rusia,11,0,0,12,45,19,10,16,77,54,23
78,Serbia,13,0,0,14,49,18,9,22,71,71,0
81,Suecia,12,0,0,11,51,19,13,19,80,73,7
83,Togo,1,0,0,75,3,0,0,3,1,6,-5
84,Trinidad y Tobago,1,0,0,68,3,0,1,2,0,4,-4
85,Turquía,2,0,0,40,10,5,1,4,20,17,3
88,Ucrania,1,0,0,53,5,2,1,2,5,7,-2
2,Alemania Occidental,,,,,,,,,,,
19,Checoslovaquia,,,,,,,,,,,
47,Indias Orientales Holand.,,,,,,,,,,,
73,RF de Yugoslavia,,,,,,,,,,,
79,Serbia y Montenegro,,,,,,,,,,,
87,URSS,,,,,,,,,,,
91,Yugoslavia,,,,,,,,,,,
92,Zaire,,,,,,,,,,,
