nombre_original,id_seleccion
Alemania,1
Alemania Occidental,2
Alemania Oriental,3
Angola,4
Arabia Saudita,5
Argelia,6
Argentina,7
Australia,8
Austria,9
Bolivia,10
Bosnia-Herzegovina,11
Brasil,12
Bulgaria,13
Bélgica,14
Cabo Verde,15
Camerún,16
Canadá,17
Catar,18
Checoslovaquia,19
Chile,20
China,21
Colombia,22
Corea del Norte,23
Corea del Sur,24
Costa Rica,25
Costa de Marfil,26
Croacia,27
Cuba,28
Curazao,29
Dinamarca,30
Ecuador,31
Egipto,32
El Salvador,33
Emiratos Arabes,34
Escocia,35
Eslovaquia,36
Eslovenia,37
España,38
Estados Unidos,39
Francia,40
Gales,41
Ghana,42
Grecia,43
Haití,44
Honduras,45
Hungría,46
Indias Orientales Holand.,47
Indonesia,48
Inglaterra,49
Iraq,50
Irlanda,51
Irlanda del Norte,52
Irán,53
Islandia,54
Israel,55
Italia,56
Jamaica,57
Japón,58
Jordania,59
Kuwait,60
Marruecos,61
México,62
Nigeria,63
Noruega,64
Nueva Zelanda,65
Paises Bajos,66
Panamá,67
Paraguay,68
Perú,69
Polonia,70
Portugal,71
RD Congo,72
RF de Yugoslavia,73
República Checa,74
Rumania,75
Rusia,76
Senegal,77
Serbia,78
Serbia y Montenegro,79
Sudáfrica,80
Suecia,81
Suiza,82
Togo,83
Trinidad y Tobago,84
Turquía,85
Túnez,86
URSS,87
Ucrania,88
Uruguay,89
Uzbekistán,90
Yugoslavia,91
Zaire,92
