id_jugador,id_mundial,id_seleccion,camiseta,posicion,jugados,titular,capitan,no_jugo,goles,promedio_gol,tarjetas_amarillas,tarjetas_rojas,pg,pe,pp,posicion_final
1,17,1,11,Delantero,7,7,0,0,5,0.71,1,0,5,1,1,2
1,18,1,11,Delantero,7,7,0,0,5,0.71,0,0,5,1,1,3
1,19,1,11,Delantero,5,5,0,2,4,0.80,0,1,3,0,2,3
1,20,1,11,Delantero,5,3,0,2,2,0.40,0,0,4,1,0,1
2,15,12,20,Delantero,0,0,0,7,0,0.00,0,0,0,0,0,1
2,16,12,9,Delantero,7,7,0,0,4,0.57,0,0,4,1,2,2
2,17,12,9,Delantero,7,7,0,0,8,1.14,0,0,7,0,0,1
2,18,12,9,Delantero,5,5,0,0,3,0.60,2,0,4,0,1,5
3,9,2,13,Delantero,6,6,0,0,10,1.67,2,0,5,0,1,3
3,10,2,13,Delantero,7,7,0,0,4,0.57,0,0,6,0,1,1
4,6,40,17,Delantero,6,6,0,0,13,2.17,0,0,4,0,2,3
5,18,7,19,Delantero,3,1,0,2,1,0.33,0,0,2,1,0,6
5,19,7,10,Delantero,5,5,1,0,0,0.00,0,0,4,0,1,5
5,20,7,10,Delantero,7,7,0,0,4,0.57,0,0,5,1,1,2
5,21,7,10,Delantero,4,4,0,0,1,0.25,1,0,1,1,2,16
5,22,7,10,Delantero,7,7,0,0,7,1.00,1,0,4,2,1,1
6,21,40,10,Delantero,7,6,0,0,4,0.57,2,0,6,1,0,1
6,22,40,10,Delantero,7,6,0,0,8,1.14,0,0,5,1,1,2
7,6,12,10,Delantero,4,4,0,2,6,1.50,0,0,4,0,0,1
7,7,12,10,Delantero,2,2,0,4,1,0.50,0,0,1,1,0,1
7,8,12,10,Delantero,2,2,0,1,1,0.50,0,0,1,0,1,11
7,9,12,10,Delantero,6,6,0,0,4,0.67,0,0,6,0,0,1
8,14,2,18,Delantero,7,7,0,0,3,0.43,1,0,5,2,0,1
8,15,2,18,Delantero,5,5,0,0,5,1.00,2,0,3,1,1,5
8,16,2,18,Delantero,5,5,0,0,3,0.60,1,0,3,1,1,7
9,18,71,17,Delantero,6,6,0,1,1,0.17,1,0,3,1,2,4
9,19,71,7,Delantero,4,4,0,0,1,0.25,1,0,1,2,1,11
9,20,71,7,Delantero,3,3,0,0,1,0.33,0,0,1,1,1,18
9,21,71,7,Delantero,4,4,0,0,4,1.00,2,0,1,2,1,13
9,22,71,7,Delantero,5,3,0,0,1,0.20,0,0,3,0,2,8
10,21,70,9,Delantero,3,3,0,0,0,0.00,0,0,1,0,2,25
10,22,70,9,Delantero,4,4,0,0,2,0.50,0,0,1,1,2,15
11,18,27,14,Mediocampista,2,0,0,1,0,0.00,0,0,0,2,0,22
11,20,27,10,Mediocampista,3,3,0,0,0,0.00,0,0,1,0,2,19
11,21,27,10,Mediocampista,7,7,0,0,2,0.29,0,0,4,2,1,2
11,22,27,10,Mediocampista,7,7,0,0,0,0.00,1,0,2,4,1,3
12,12,7,10,Mediocampista,5,5,0,0,2,0.40,1,1,2,0,3,11
12,13,7,10,Mediocampista,7,7,0,0,5,0.71,1,0,6,1,0,1
12,14,7,10,Mediocampista,7,7,0,0,0,0.00,2,0,2,3,2,2
12,15,7,10,Mediocampista,2,2,0,2,1,0.50,0,0,2,0,0,10
13,19,12,13,Defensor,5,3,0,0,0,0.00,0,0,3,1,1,6
13,20,12,2,Defensor,4,4,0,3,0,0.00,1,0,2,2,0,4
13,22,12,13,Defensor,2,1,1,3,0,0.00,0,0,1,0,1,7
14,20,40,9,Delantero,5,2,0,0,1,0.20,0,0,3,1,1,7
14,21,40,9,Delantero,7,6,0,0,0,0.00,1,0,6,1,0,1
14,22,40,9,Delantero,6,6,0,1,4,0.67,1,0,5,1,0,2
15,20,12,10,Delantero,5,5,0,2,4,0.80,1,0,3,2,0,4
15,21,12,10,Delantero,5,5,0,0,2,0.40,1,0,3,1,1,6
15,22,12,10,Delantero,3,3,0,2,2,0.67,0,0,2,1,0,7
16,17,12,11,Mediocampista,5,5,0,2,2,0.40,1,1,5,0,0,1
16,18,12,10,Mediocampista,5,5,0,0,0,0.00,0,0,4,0,1,5
17,20,40,10,Delantero,5,5,0,0,3,0.60,0,0,3,1,1,7
17,22,40,19,Delantero,0,0,0,7,0,0.00,0,0,0,0,0,2
18,15,7,9,Delantero,4,4,0,0,4,1.00,1,0,2,0,2,10
18,16,7,9,Delantero,5,5,1,0,5,1.00,0,0,3,1,1,6
18,17,7,9,Delantero,3,3,1,0,1,0.33,1,0,1,1,1,18
19,19,1,13,Mediocampista,6,6,0,1,5,0.83,2,0,5,0,1,3
19,20,1,13,Delantero,7,7,0,0,5,0.71,0,0,6,1,0,1
19,21,1,13,Mediocampista,3,2,0,0,0,0.00,1,0,1,0,2,22
19,22,1,13,Mediocampista,3,3,0,0,0,0.00,0,0,1,1,1,17
20,21,7,21,Delantero,1,0,0,3,0,0.00,0,0,0,0,1,16
20,22,7,21,Delantero,2,0,0,5,0,0.00,0,0,1,1,0,1
21,20,31,13,Delantero,3,3,0,0,3,1.00,1,0,1,1,1,17
21,22,31,13,Delantero,3,3,0,0,3,1.00,0,0,1,1,1,18
22,20,22,10,Mediocampista,5,4,0,0,6,1.20,1,0,4,0,1,5
22,21,22,10,Mediocampista,3,2,0,1,0,0.00,1,0,2,0,1,9
23,19,7,15,Defensor,3,3,0,2,0,0.00,1,0,2,0,1,5
23,21,7,17,Defensor,4,4,0,0,0,0.00,2,0,1,1,2,16
23,22,7,19,Defensor,7,7,0,0,0,0.00,2,0,4,2,1,1
24,8,71,13,Delantero,6,6,0,0,9,1.50,1,0,5,0,1,3
25,21,49,9,Delantero,6,6,0,1,6,1.00,0,0,3,1,2,4
25,22,49,9,Delantero,5,5,0,0,2,0.40,0,0,3,1,1,6
26,12,2,18,Mediocampista,2,0,0,5,0,0.00,0,0,2,0,0,2
26,13,2,8,Mediocampista,7,7,0,0,1,0.14,2,0,3,2,2,2
26,14,2,10,Mediocampista,7,7,0,0,4,0.57,1,0,5,2,0,1
26,15,2,10,Mediocampista,5,5,0,0,1,0.20,0,0,3,1,1,5
26,16,2,8,Mediocampista,4,3,0,1,0,0.00,2,0,2,1,1,7
27,19,89,9,Delantero,6,6,0,1,3,0.50,0,1,3,2,1,4
27,20,89,9,Delantero,2,2,0,2,2,1.00,0,0,2,0,0,12
27,21,89,9,Delantero,5,5,0,0,2,0.40,0,0,4,0,1,5
27,22,89,9,Delantero,3,2,1,0,0,0.00,1,0,1,1,1,20
28,20,62,9,Delantero,1,0,0,3,0,0.00,0,0,0,1,0,10
28,21,62,9,Delantero,2,0,0,2,0,0.00,0,0,1,0,1,12
28,22,62,9,Delantero,3,0,0,0,0,0.00,0,0,1,1,1,22
29,18,62,13,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,15
29,19,62,13,Arquero,0,0,0,4,0,0.00,0,0,0,0,0,14
29,20,62,13,Arquero,4,4,0,0,0,0.00,0,0,2,1,1,10
29,21,62,13,Arquero,4,4,0,0,0,0.00,0,0,2,0,2,12
29,22,62,13,Arquero,3,3,0,0,0,0.00,0,0,1,1,1,22
30,16,56,22,Arquero,0,0,0,5,0,0.00,0,0,0,0,0,5
30,17,56,1,Arquero,4,4,0,0,0,0.00,0,0,1,1,2,15
30,18,56,1,Arquero,7,7,0,0,0,0.00,0,0,5,2,0,1
30,19,56,1,Arquero,1,1,0,2,0,0.00,0,0,0,1,0,26
30,20,56,1,Arquero,2,2,0,1,0,0.00,0,0,0,0,2,22
31,19,7,16,Delantero,3,1,0,2,0,0.00,0,0,2,0,1,5
31,20,7,20,Delantero,5,3,0,2,0,0.00,1,0,3,1,1,2
31,21,7,19,Delantero,4,2,0,0,2,0.50,0,0,1,1,2,16
32,19,71,15,Mediocampista,2,2,0,2,0,0.00,1,0,0,1,1,11
32,20,71,3,Mediocampista,2,2,0,1,0,0.00,0,1,1,0,1,18
32,21,71,3,Defensor,4,4,0,0,1,0.25,0,0,1,2,1,13
32,22,71,3,Defensor,4,4,0,1,1,0.25,0,0,2,0,2,8
33,19,7,7,Mediocampista,5,4,0,0,0,0.00,0,0,4,0,1,5
33,20,7,7,Mediocampista,5,5,0,2,1,0.20,1,0,5,0,0,2
33,21,7,11,Mediocampista,3,3,0,1,1,0.33,0,0,1,1,1,16
33,22,7,11,Delantero,5,4,0,2,1,0.20,0,0,2,2,1,1
34,10,7,13,Delantero,6,5,0,0,0,0.00,0,0,1,2,3,8
34,11,7,10,Delantero,7,7,0,0,6,0.86,0,0,5,1,1,1
34,12,7,11,Delantero,5,5,0,0,0,0.00,1,0,2,0,3,11
35,16,40,10,Mediocampista,5,5,0,2,2,0.40,1,1,4,1,0,1
35,17,40,10,Mediocampista,1,1,0,2,0,0.00,0,0,0,0,1,28
35,18,40,10,Mediocampista,6,6,0,1,3,0.50,3,1,3,3,0,2
36,22,38,7,Delantero,4,1,0,0,3,0.75,0,0,1,2,1,13
37,11,62,11,Delantero,3,3,0,0,0,0.00,0,0,0,0,3,16
37,13,62,9,Delantero,4,4,0,1,1,0.25,3,0,2,2,0,6
37,15,62,9,Delantero,1,1,0,3,0,0.00,0,0,0,0,1,13
38,18,7,10,Mediocampista,5,5,0,0,0,0.00,0,0,3,2,0,6
39,19,38,16,Mediocampista,7,7,0,0,0,0.00,1,0,6,0,1,1
39,20,38,16,Mediocampista,2,2,0,1,0,0.00,0,0,0,0,2,23
39,21,38,5,Mediocampista,4,4,0,0,0,0.00,1,0,1,3,0,10
39,22,38,5,Mediocampista,4,4,0,0,0,0.00,1,0,1,2,1,13
40,19,12,15,Defensor,0,0,0,5,0,0.00,0,0,0,0,0,6
40,20,12,3,Defensor,6,6,0,1,1,0.17,3,0,3,2,1,4
40,21,12,2,Defensor,5,5,0,0,1,0.20,0,0,3,1,1,6
40,22,12,3,Defensor,4,4,0,1,0,0.00,0,0,3,1,0,7
41,20,40,11,Mediocampista,5,3,0,0,0,0.00,0,0,3,1,1,7
41,21,40,7,Delantero,7,7,0,0,4,0.57,0,0,6,1,0,1
41,22,40,7,Delantero,7,6,0,0,0,0.00,1,0,5,1,1,2
42,19,89,3,Defensor,5,5,0,2,0,0.00,0,0,2,1,2,4
42,20,89,3,Defensor,4,4,0,0,1,0.25,1,0,2,0,2,12
42,21,89,3,Defensor,5,5,0,0,0,0.00,0,0,4,0,1,5
42,22,89,3,Defensor,2,2,0,1,0,0.00,0,0,0,1,1,20
43,17,7,16,Mediocampista,3,1,0,0,0,0.00,0,0,1,1,1,18
43,18,7,16,Mediocampista,3,0,0,2,0,0.00,0,0,2,1,0,6
44,16,62,11,Delantero,4,4,0,0,1,0.25,2,0,1,2,1,13
44,17,62,10,Delantero,4,4,0,0,1,0.25,1,0,2,1,1,11
44,19,62,10,Delantero,3,1,1,1,1,0.33,0,0,1,1,1,14
45,19,62,14,Delantero,4,1,0,0,2,0.50,1,0,1,1,2,14
45,20,62,14,Delantero,4,0,0,0,1,0.25,0,0,2,1,1,10
45,21,62,14,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,12
46,19,89,7,Delantero,6,6,0,1,1,0.17,0,0,3,1,2,4
46,20,89,21,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,12
46,21,89,21,Delantero,4,4,0,1,3,0.75,0,0,4,0,0,5
46,22,89,21,Delantero,3,1,0,0,0,0.00,1,0,1,1,1,20
47,20,38,18,Defensor,3,3,0,0,0,0.00,0,0,1,0,2,23
47,21,38,18,Defensor,4,4,0,0,0,0.00,0,0,1,3,0,10
47,22,38,18,Defensor,4,3,0,0,0,0.00,0,0,1,2,1,13
48,19,62,11,Delantero,2,2,0,2,0,0.00,0,0,1,1,0,14
48,21,62,11,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,12
49,18,7,11,Delantero,4,2,0,1,1,0.25,0,0,2,2,0,6
49,19,7,11,Delantero,4,4,0,1,2,0.50,0,0,3,0,1,5
50,17,81,21,Delantero,2,0,0,2,0,0.00,0,0,0,1,1,13
50,18,81,10,Delantero,3,3,0,1,0,0.00,0,0,1,1,1,14
51,17,89,21,Delantero,1,0,0,2,1,1.00,0,0,0,1,0,26
51,19,89,10,Delantero,7,7,1,0,5,0.71,0,0,3,2,2,4
51,20,89,10,Delantero,2,2,0,2,0,0.00,0,0,0,0,2,12
52,5,2,12,Delantero,4,4,0,2,4,1.00,0,0,3,0,1,1
52,6,2,8,Delantero,6,6,0,0,6,1.00,0,0,2,2,2,4
53,6,2,12,Delantero,5,5,0,1,2,0.40,0,0,2,2,1,4
53,7,2,9,Delantero,4,4,0,0,2,0.50,0,0,2,1,1,7
53,8,2,9,Delantero,6,6,0,0,2,0.33,0,0,4,1,1,2
53,9,2,9,Delantero,6,6,0,0,3,0.50,0,0,5,0,1,3
54,15,5,12,Delantero,2,2,0,2,1,0.50,0,0,1,0,1,12
54,16,5,9,Delantero,3,3,0,0,1,0.33,1,0,0,1,2,28
54,17,5,9,Delantero,1,1,1,2,0,0.00,0,0,0,0,1,32
54,18,5,9,Delantero,3,1,1,0,1,0.33,1,0,0,1,2,28
55,21,5,18,Mediocampista,3,3,0,0,1,0.33,0,0,1,0,2,26
55,22,5,10,Delantero,3,3,0,0,2,0.67,1,0,1,0,2,25
56,15,5,6,Mediocampista,3,3,0,1,2,0.67,2,0,1,0,2,12
56,16,5,6,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,28
57,15,5,10,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,12
57,16,5,10,Delantero,2,2,0,1,0,0.00,0,0,0,0,2,28
58,16,5,15,Delantero,2,1,0,1,1,0.50,0,0,0,1,1,28
59,22,5,11,Delantero,3,3,0,0,1,0.33,1,0,1,0,2,25
60,12,6,7,Delantero,3,3,0,0,2,0.67,0,0,2,0,1,13
60,13,6,7,Delantero,2,2,0,1,0,0.00,0,0,0,1,1,22
61,20,6,18,Mediocampista,3,2,0,1,2,0.67,0,0,1,1,1,14
62,20,6,13,Delantero,4,3,0,0,2,0.50,0,0,1,1,2,14
63,19,6,5,Defensor,3,3,0,0,0,0.00,0,0,0,1,2,28
63,20,6,5,Defensor,4,4,0,0,1,0.25,1,0,1,1,2,14
64,12,6,11,Delantero,3,3,0,0,1,0.33,1,0,2,0,1,13
64,13,6,11,Delantero,3,3,0,0,0,0.00,1,0,0,1,2,22
65,12,6,14,Mediocampista,2,2,0,1,0,0.00,0,0,1,0,1,13
65,13,6,14,Mediocampista,3,2,0,0,1,0.33,0,0,0,1,2,22
66,1,7,,Delantero,4,4,0,1,8,2.00,0,0,3,0,1,2
67,19,7,9,Delantero,4,4,0,1,4,1.00,0,0,3,0,1,5
67,20,7,9,Delantero,7,6,0,0,1,0.14,0,0,5,1,1,2
67,21,7,9,Delantero,3,1,0,1,0,0.00,0,0,1,1,1,16
68,18,8,4,Mediocampista,4,3,0,0,2,0.50,2,0,1,1,2,16
68,19,8,4,Delantero,2,2,0,1,1,0.50,0,1,1,0,1,21
68,20,8,4,Delantero,2,2,0,1,2,1.00,2,0,0,0,2,30
68,21,8,4,Delantero,1,0,0,2,0,0.00,0,0,0,0,1,30
69,19,8,15,Mediocampista,1,0,0,2,0,0.00,0,0,0,0,1,21
69,20,8,15,Mediocampista,3,3,0,0,1,0.33,2,0,0,0,3,30
69,21,8,15,Mediocampista,3,3,0,0,2,0.67,1,0,0,1,2,30
70,19,8,14,Delantero,3,1,0,0,2,0.67,0,0,1,1,1,21
71,18,8,10,Delantero,3,2,0,1,1,0.33,0,0,1,1,1,16
71,19,8,10,Delantero,1,1,0,2,0,0.00,0,1,0,1,0,21
72,20,8,7,Delantero,3,3,0,0,0,0.00,0,0,0,0,3,30
72,21,8,7,Delantero,3,3,0,0,0,0.00,1,0,0,1,2,30
72,22,8,7,Delantero,4,4,0,0,1,0.25,0,0,2,0,2,11
73,18,8,3,Defensor,4,4,0,0,1,0.25,1,0,1,1,2,16
73,19,8,3,Defensor,2,2,0,1,0,0.00,2,0,0,1,1,21
74,5,9,10,Delantero,5,5,0,0,6,1.20,0,0,4,0,1,3
75,11,9,9,Delantero,6,6,0,0,4,0.67,0,0,3,0,3,7
75,12,9,9,Delantero,4,4,0,1,1,0.25,0,0,2,0,2,8
76,11,9,18,Delantero,3,3,0,3,1,0.33,0,0,2,0,1,7
76,12,9,7,Delantero,5,5,0,0,2,0.40,1,0,2,1,2,8
77,5,9,21,Delantero,4,4,0,1,3,0.75,0,0,3,0,1,3
78,5,9,9,Delantero,4,4,0,1,3,0.75,0,0,3,0,1,3
79,5,9,5,Mediocampista,5,5,0,0,2,0.40,0,0,4,0,1,3
80,20,14,9,Delantero,4,2,0,1,1,0.25,0,0,3,0,1,6
80,21,14,9,Delantero,6,6,0,1,4,0.67,0,0,5,0,1,3
80,22,14,9,Delantero,2,0,0,1,0,0.00,0,0,0,1,1,23
81,14,14,21,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,11
81,15,14,18,Mediocampista,1,1,0,3,0,0.00,0,0,0,0,1,11
81,16,14,7,Mediocampista,3,3,0,0,2,0.67,0,0,0,3,0,19
81,17,14,7,Delantero,4,4,0,0,3,0.75,0,0,1,2,1,14
82,12,14,11,Delantero,5,5,0,0,0,0.00,0,0,2,1,2,10
82,13,14,11,Mediocampista,7,7,0,0,3,0.43,1,0,2,2,3,4
82,14,14,11,Delantero,4,3,0,0,1,0.25,0,0,2,0,2,11
83,13,14,16,Delantero,7,6,0,0,3,0.43,1,0,2,2,3,4
83,14,14,14,Delantero,1,0,0,3,0,0.00,0,0,0,0,1,11
84,20,14,10,Mediocampista,5,4,0,0,0,0.00,1,0,4,0,1,6
84,21,14,10,Delantero,6,6,0,1,3,0.50,1,0,5,0,1,3
84,22,14,10,Delantero,3,2,0,0,0,0.00,0,0,1,1,1,23
85,13,14,8,Mediocampista,7,7,0,0,2,0.29,0,0,2,2,3,4
85,14,14,10,Mediocampista,4,4,0,0,1,0.25,0,0,2,0,2,11
85,15,14,10,Mediocampista,4,4,1,0,0,0.00,1,0,2,0,2,11
85,16,14,14,Mediocampista,2,2,1,1,0,0.00,0,0,0,2,0,19
86,4,12,,Delantero,6,6,0,0,9,1.50,0,0,4,1,1,2
87,8,12,17,Delantero,3,3,0,0,0,0.00,0,0,1,0,2,11
87,9,12,7,Delantero,6,6,0,0,7,1.17,0,0,6,0,0,1
87,10,12,7,Delantero,7,7,0,0,2,0.29,2,0,3,2,2,4
88,6,12,20,Delantero,4,4,0,2,5,1.25,0,0,3,1,0,1
88,7,12,19,Delantero,6,6,0,0,4,0.67,0,0,5,1,0,1
89,16,12,10,Mediocampista,7,7,0,0,3,0.43,0,0,4,1,2,2
89,17,12,10,Mediocampista,7,7,0,0,5,0.71,0,0,7,0,0,1
90,22,17,19,Delantero,3,3,0,0,1,0.33,1,0,0,0,3,31
91,22,18,9,Delantero,3,0,0,0,1,0.33,0,0,0,0,3,32
92,21,22,13,Defensor,3,3,0,1,3,1.00,0,0,2,1,0,9
93,20,22,21,Delantero,3,2,0,2,2,0.67,0,0,3,0,0,5
94,20,22,20,Mediocampista,3,1,0,2,1,0.33,0,0,2,0,1,5
94,21,22,20,Mediocampista,4,4,0,0,1,0.25,0,0,2,1,1,9
95,14,22,11,Mediocampista,3,2,0,1,2,0.67,0,0,1,0,2,14
96,15,22,11,Delantero,3,2,0,0,2,0.67,0,0,1,0,2,19
96,16,22,9,Delantero,3,1,0,0,0,0.00,0,0,1,0,2,21
97,17,24,19,Mediocampista,7,4,0,0,2,0.29,1,0,3,2,2,4
97,18,24,9,Delantero,3,0,0,0,1,0.33,1,0,1,1,1,17
97,19,24,9,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,15
98,17,24,21,Mediocampista,7,7,0,0,1,0.14,1,0,3,2,2,4
98,18,24,7,Mediocampista,3,3,0,0,1,0.33,0,0,1,1,1,17
98,19,24,7,Mediocampista,4,4,0,0,1,0.25,0,0,1,1,2,15
