mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
2022,https://www.losmundialesdefutbol.com/partidos/2022_alemania_japon.php,Alemania,Ilkay Gündogan,33,penal,2026-03-16T22:49:03.385432
2022,https://www.losmundialesdefutbol.com/partidos/2022_alemania_japon.php,Japón,Ritsu Doan,75,normal,2026-03-16T22:49:03.385432
2022,https://www.losmundialesdefutbol.com/partidos/2022_alemania_japon.php,Japón,Takuma Asano,83,normal,2026-03-16T22:49:03.385432
2022,https://www.losmundialesdefutbol.com/partidos/2022_espana_alemania.php,España,Álvaro Morata,62,normal,2026-03-16T22:49:04.557059
2022,https://www.losmundialesdefutbol.com/partidos/2022_espana_alemania.php,Alemania,Niclas Füllkrug,83,normal,2026-03-16T22:49:04.557059
2022,https://www.losmundialesdefutbol.com/partidos/2022_costa_rica_alemania.php,Alemania,Serge Gnabry,10,normal,2026-03-16T22:49:06.499241
2022,https://www.losmundialesdefutbol.com/partidos/2022_costa_rica_alemania.php,Costa Rica,Yeltsin Tejeda,58,normal,2026-03-16T22:49:06.499241
2022,https://www.losmundialesdefutbol.com/partidos/2022_costa_rica_alemania.php,Costa Rica,Juan Pablo Vargas,70,normal,2026-03-16T22:49:06.499241
2022,https://www.losmundialesdefutbol.com/partidos/2022_costa_rica_alemania.php,Alemania,Kai Havertz,73,normal,2026-03-16T22:49:06.499241
2022,https://www.losmundialesdefutbol.com/partidos/2022_costa_rica_alemania.php,Alemania,Kai Havertz,85,normal,2026-03-16T22:49:06.499241
2022,https://www.losmundialesdefutbol.com/partidos/2022_costa_rica_alemania.php,Alemania,Niclas Füllkrug,89,normal,2026-03-16T22:49:06.499241
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_arabia_saudita.php,Argentina,Lionel Messi,10,penal,2026-03-16T22:49:23.817752
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_arabia_saudita.php,Arabia Saudita,Saleh Al-Shehri,48,normal,2026-03-16T22:49:23.817752
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_arabia_saudita.php,Arabia Saudita,Salem Al-Dawsari,53,normal,2026-03-16T22:49:23.817752
2022,https://www.losmundialesdefutbol.com/partidos/2022_polonia_arabia_saudita.php,Polonia,Piotr Zieliński,39,normal,2026-03-16T22:49:25.977594
2022,https://www.losmundialesdefutbol.com/partidos/2022_polonia_arabia_saudita.php,Polonia,Robert Lewandowski,82,normal,2026-03-16T22:49:25.977594
2022,https://www.losmundialesdefutbol.com/partidos/2022_arabia_saudita_mexico.php,México,Henry Martin,47,normal,2026-03-16T22:49:27.525486
2022,https://www.losmundialesdefutbol.com/partidos/2022_arabia_saudita_mexico.php,México,Luis Chávez,52,normal,2026-03-16T22:49:27.525486
2022,https://www.losmundialesdefutbol.com/partidos/2022_arabia_saudita_mexico.php,Arabia Saudita,Salem Al-Dawsari,90,normal,2026-03-16T22:49:27.525486
2014,https://www.losmundialesdefutbol.com/partidos/2014_corea_del_sur_argelia.php,Argelia,Islam Slimani,26,normal,2026-03-16T22:49:43.986323
2014,https://www.losmundialesdefutbol.com/partidos/2014_corea_del_sur_argelia.php,Argelia,Rafik Halliche,28,normal,2026-03-16T22:49:43.986323
2014,https://www.losmundialesdefutbol.com/partidos/2014_corea_del_sur_argelia.php,Argelia,Abdelmoumene Djabou,38,normal,2026-03-16T22:49:43.986323
2014,https://www.losmundialesdefutbol.com/partidos/2014_corea_del_sur_argelia.php,Corea del Sur,Heung-Min Son,50,normal,2026-03-16T22:49:43.986323
2014,https://www.losmundialesdefutbol.com/partidos/2014_corea_del_sur_argelia.php,Argelia,Yacine Brahimi,62,normal,2026-03-16T22:49:43.986323
2014,https://www.losmundialesdefutbol.com/partidos/2014_corea_del_sur_argelia.php,Corea del Sur,Ja-Cheol Koo,72,normal,2026-03-16T22:49:43.986323
2014,https://www.losmundialesdefutbol.com/partidos/2014_argelia_rusia.php,Rusia,Alexander Kokorin,6,normal,2026-03-16T22:49:46.131288
2014,https://www.losmundialesdefutbol.com/partidos/2014_argelia_rusia.php,Argelia,Islam Slimani,60,normal,2026-03-16T22:49:46.131288
2014,https://www.losmundialesdefutbol.com/partidos/2014_alemania_argelia.php,Alemania,André Schürrle,92,normal,2026-03-16T22:49:47.515459
2014,https://www.losmundialesdefutbol.com/partidos/2014_alemania_argelia.php,Alemania,Mesut Ozil,120,normal,2026-03-16T22:49:47.515459
2014,https://www.losmundialesdefutbol.com/partidos/2014_alemania_argelia.php,Argelia,Abdelmoumene Djabou,120,normal,2026-03-16T22:49:47.515459
2022,https://www.losmundialesdefutbol.com/partidos/2022_holanda_argentina.php,Argentina,Nahuel Molina,35,normal,2026-03-16T22:49:57.254954
2022,https://www.losmundialesdefutbol.com/partidos/2022_holanda_argentina.php,Argentina,Lionel Messi,73,penal,2026-03-16T22:49:57.254954
2022,https://www.losmundialesdefutbol.com/partidos/2022_holanda_argentina.php,Paises Bajos,Wout Weghorst,83,normal,2026-03-16T22:49:57.254954
2022,https://www.losmundialesdefutbol.com/partidos/2022_holanda_argentina.php,Paises Bajos,Wout Weghorst,90,normal,2026-03-16T22:49:57.254954
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_croacia.php,Argentina,Lionel Messi,34,penal,2026-03-16T22:49:59.276893
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_croacia.php,Argentina,Julian Alvarez,39,normal,2026-03-16T22:49:59.276893
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_croacia.php,Argentina,Julian Alvarez,69,normal,2026-03-16T22:49:59.276893
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_francia.php,Argentina,Lionel Messi,23,penal,2026-03-16T22:50:01.767251
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_francia.php,Argentina,Angel Di Maria,36,normal,2026-03-16T22:50:01.767251
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_francia.php,Francia,Kylian Mbappé,80,penal,2026-03-16T22:50:01.767251
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_francia.php,Francia,Kylian Mbappé,81,normal,2026-03-16T22:50:01.767251
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_francia.php,Argentina,Lionel Messi,108,normal,2026-03-16T22:50:01.767251
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_francia.php,Francia,Kylian Mbappé,118,penal,2026-03-16T22:50:01.767251
2022,https://www.losmundialesdefutbol.com/partidos/2022_tunez_australia.php,Australia,Mitchell Duke,23,normal,2026-03-16T22:50:16.435760
2022,https://www.losmundialesdefutbol.com/partidos/2022_australia_dinamarca.php,Australia,Mathew Leckie,60,normal,2026-03-16T22:50:19.344160
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_australia.php,Argentina,Lionel Messi,35,normal,2026-03-16T22:50:20.909930
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_australia.php,Argentina,Julian Alvarez,57,normal,2026-03-16T22:50:20.909930
2022,https://www.losmundialesdefutbol.com/partidos/2022_argentina_australia.php,Australia,Enzo Fernandez,77,autogol,2026-03-16T22:50:20.909930
1998,https://www.losmundialesdefutbol.com/partidos/1998_camerun_austria.php,Camerún,Pierre Njanka,77,normal,2026-03-16T22:50:38.146773
1998,https://www.losmundialesdefutbol.com/partidos/1998_camerun_austria.php,Austria,Toni Polster,90,normal,2026-03-16T22:50:38.146773
1998,https://www.losmundialesdefutbol.com/partidos/1998_chile_austria.php,Chile,Marcelo Salas,70,normal,2026-03-16T22:50:39.641847
1998,https://www.losmundialesdefutbol.com/partidos/1998_chile_austria.php,Austria,Ivica Vastic,90,normal,2026-03-16T22:50:39.641847
1998,https://www.losmundialesdefutbol.com/partidos/1998_italia_austria.php,Italia,Christian Vieri,48,normal,2026-03-16T22:50:41.634428
1998,https://www.losmundialesdefutbol.com/partidos/1998_italia_austria.php,Italia,Roberto Baggio,90,normal,2026-03-16T22:50:41.634428
1998,https://www.losmundialesdefutbol.com/partidos/1998_italia_austria.php,Austria,Andreas Herzog,90,penal,2026-03-16T22:50:41.634428
2022,https://www.losmundialesdefutbol.com/partidos/2022_belgica_canada.php,Bélgica,Michy Batshuayi,44,normal,2026-03-16T22:51:01.854942
2022,https://www.losmundialesdefutbol.com/partidos/2022_belgica_marruecos.php,Marruecos,Romain Saïss,73,normal,2026-03-16T22:51:04.706514
2022,https://www.losmundialesdefutbol.com/partidos/2022_belgica_marruecos.php,Marruecos,Zakaria Aboukhlal,90,normal,2026-03-16T22:51:04.706514
2022,https://www.losmundialesdefutbol.com/partidos/2022_camerun_brasil.php,Camerún,Vincent Aboubakar,90,normal,2026-03-16T22:51:21.413984
2022,https://www.losmundialesdefutbol.com/partidos/2022_brasil_corea_del_sur.php,Brasil,Vinicius Junior,7,normal,2026-03-16T22:51:23.402441
2022,https://www.losmundialesdefutbol.com/partidos/2022_brasil_corea_del_sur.php,Brasil,Neymar Jr.,13,normal,2026-03-16T22:51:23.402441
2022,https://www.losmundialesdefutbol.com/partidos/2022_brasil_corea_del_sur.php,Brasil,Richarlison,29,normal,2026-03-16T22:51:23.402441
2022,https://www.losmundialesdefutbol.com/partidos/2022_brasil_corea_del_sur.php,Brasil,Lucas Paqueta,36,normal,2026-03-16T22:51:23.402441
2022,https://www.losmundialesdefutbol.com/partidos/2022_brasil_corea_del_sur.php,Corea del Sur,Seung-ho Paik,76,normal,2026-03-16T22:51:23.402441
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_brasil.php,Brasil,Neymar Jr.,105,normal,2026-03-16T22:51:25.068492
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_brasil.php,Croacia,Bruno Petkovic,117,normal,2026-03-16T22:51:25.068492
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_canada.php,Canadá,Alphonso Davies,2,normal,2026-03-16T22:51:36.232888
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_canada.php,Croacia,Andrej Kramarić,36,normal,2026-03-16T22:51:36.232888
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_canada.php,Croacia,Marko Livaja,44,normal,2026-03-16T22:51:36.232888
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_canada.php,Croacia,Andrej Kramarić,70,normal,2026-03-16T22:51:36.232888
2022,https://www.losmundialesdefutbol.com/partidos/2022_croacia_canada.php,Croacia,Lovro Majer,90,normal,2026-03-16T22:51:36.232888
2022,https://www.losmundialesdefutbol.com/partidos/2022_canada_marruecos.php,Marruecos,Hakim Ziyech,4,normal,2026-03-16T22:51:38.529448
2022,https://www.losmundialesdefutbol.com/partidos/2022_canada_marruecos.php,Marruecos,Youssef En-Nesyri,23,normal,2026-03-16T22:51:38.529448
2022,https://www.losmundialesdefutbol.com/partidos/2022_canada_marruecos.php,Canadá,Nayef Aguerd,40,autogol,2026-03-16T22:51:38.529448
2022,https://www.losmundialesdefutbol.com/partidos/2022_catar_ecuador.php,Ecuador,Enner Valencia,16,penal,2026-03-16T22:51:47.847738
2022,https://www.losmundialesdefutbol.com/partidos/2022_catar_ecuador.php,Ecuador,Enner Valencia,31,normal,2026-03-16T22:51:47.847738
2022,https://www.losmundialesdefutbol.com/partidos/2022_catar_senegal.php,Senegal,Boulaye Dia,41,normal,2026-03-16T22:51:49.321389
2022,https://www.losmundialesdefutbol.com/partidos/2022_catar_senegal.php,Senegal,Famara Diéhiou,48,normal,2026-03-16T22:51:49.321389
2022,https://www.losmundialesdefutbol.com/partidos/2022_catar_senegal.php,Catar,Mohammed Muntari,78,normal,2026-03-16T22:51:49.321389
2022,https://www.losmundialesdefutbol.com/partidos/2022_catar_senegal.php,Senegal,Bamba Dieng,84,normal,2026-03-16T22:51:49.321389
2022,https://www.losmundialesdefutbol.com/partidos/2022_holanda_catar.php,Paises Bajos,Cody Gakpo,26,normal,2026-03-16T22:51:51.544087
2022,https://www.losmundialesdefutbol.com/partidos/2022_holanda_catar.php,Paises Bajos,Frenkie de Jong,49,normal,2026-03-16T22:51:51.544087
2018,https://www.losmundialesdefutbol.com/partidos/2018_polonia_colombia.php,Colombia,Yerry Mina,40,normal,2026-03-16T22:52:08.688588
2018,https://www.losmundialesdefutbol.com/partidos/2018_polonia_colombia.php,Colombia,Radamel Falcao,70,normal,2026-03-16T22:52:08.688588
2018,https://www.losmundialesdefutbol.com/partidos/2018_polonia_colombia.php,Colombia,Juan Guillermo Cuadrado,75,normal,2026-03-16T22:52:08.688588
