mundial,jugador,seleccion,amarillas,rojas,rd,ta2,partidos,url_jugador,url,fecha_scraping
2022,Vincent Aboubakar,Camerún,0,1,-,1,3,../jugadores/vincent_aboubakar.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Walid Cheddira,Marruecos,0,1,-,1,2,../jugadores/walid_cheddira.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Denzel Dumfries,Paises Bajos,0,1,-,1,5,../jugadores/denzel_dumfries.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Wayne Heennesey,Gales,0,1,1,-,2,../jugadores/wayne_hennessey.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Marcos Acuña,Argentina,3,0,,,6,../jugadores/marcos_acuna.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Gonzalo Montiel,Argentina,3,0,,,4,../jugadores/gonzalo_montiel.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Abdulelah Al-Amri,Arabia Saudita,2,0,,,3,../jugadores/abdulelah_al_amri.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Abdulelah Al-Malki,Arabia Saudita,2,0,,,2,../jugadores/abdulellah_al_malki.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Francisco Calvo,Costa Rica,2,0,,,2,../jugadores/francisco_calvo.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Matty Cash,Polonia,2,0,,,4,../jugadores/matty_cash.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Milos Degenek,Australia,2,0,,,4,../jugadores/milos_degenek.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Collins Faï,Camerún,2,0,,,3,../jugadores/collins_fai.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Nemanja Gudelj,Serbia,2,0,,,2,../jugadores/nemanja_gudelj.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Idrissa Gana Gueye,Senegal,2,0,,,3,../jugadores/idrissa_gueye.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Jackson Irvine,Australia,2,0,,,4,../jugadores/jackson_irvine.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Ko Itakura,Japón,2,0,,,3,../jugadores/ko_itakura.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Alireza Jahanbakhsh,Irán,2,0,,,2,../jugadores/alireza_jahanbakhsh.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Woo-young Jung,Corea del Sur,2,0,,,4,../jugadores/woo_young_jung_2.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Mateo Kovacic,Croacia,2,0,,,7,../jugadores/mateo_kovacic.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Sasa Lukic,Serbia,2,0,,,3,../jugadores/sasa_lukic.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Jhegson Méndez,Ecuador,2,0,,,2,../jugadores/jhegson_mendez.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Nikola Milenković,Serbia,2,0,,,3,../jugadores/nikola_milenkovic.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Amadou Onana,Bélgica,2,0,,,2,../jugadores/amadou_onana.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Nicolas Otamendi,Argentina,2,0,,,7,../jugadores/nicolas_otamendi.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Leandro Paredes,Argentina,2,0,,,5,../jugadores/leandro_paredes.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Strahinja Pavlovic,Serbia,2,0,,,3,../jugadores/strahinja_pavlovic.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Cristian Romero,Argentina,2,0,,,7,../jugadores/cristian_romero.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Fabian Schär,Suiza,2,0,,,2,../jugadores/fabian_schar.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Alidu Seidu,Ghana,2,0,,,2,../jugadores/alidu_seidu.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Ali Abdi,Túnez,1,0,,,3,../jugadores/ali_abdi.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Saud Abdulhamid,Arabia Saudita,1,0,,,3,../jugadores/saud_abdulhamid.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Kellyn Acosta,Estados Unidos,1,0,,,2,../jugadores/kellyn_acosta.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Tyler Adams,Estados Unidos,1,0,,,4,../jugadores/tyler_adams.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Sam Adekugbe,Canadá,1,0,,,3,../jugadores/sam_adekugbe.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Akram Afif,Catar,1,0,,,3,../jugadores/akram_afif.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Homam Ahmed,Catar,1,0,,,3,../jugadores/homam_ahmed.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Manuel Akanji,Suiza,1,0,,,4,../jugadores/manuel_akanji.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Nathan Aké,Paises Bajos,1,0,,,5,../jugadores/nathan_ake.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
2022,Saad Al Sheeb,Catar,1,0,,,1,../jugadores/saad_al_sheeb.php,https://www.losmundialesdefutbol.com/mundiales/2022_tarjetas.php,2026-03-16T23:00:23.897580
