mundial,posicion,jugador,seleccion,goles,partidos,promedio_gol,url_jugador,url,fecha_scraping
2022,1,Kylian Mbappé,Francia,8,7,1.14,../jugadores/kylian_mbappe.php,https://www.losmundialesdefutbol.com/mundiales/2022_goleadores.php,2026-03-16T22:24:00.499384
2022,2,Lionel Messi,Argentina,7,7,1.00,../jugadores/lionel_messi.php,https://www.losmundialesdefutbol.com/mundiales/2022_goleadores.php,2026-03-16T22:24:00.499384
2022,3,Julian Alvarez,Argentina,4,7,0.57,../jugadores/julian_alvarez.php,https://www.losmundialesdefutbol.com/mundiales/2022_goleadores.php,2026-03-16T22:24:00.499384
2022,5,Cody Gakpo,Paises Bajos,3,5,0.60,../jugadores/cody_gakpo.php,https://www.losmundialesdefutbol.com/mundiales/2022_goleadores.php,2026-03-16T22:24:00.499384
2018,1,Harry Kane,Inglaterra,6,6,1.00,../jugadores/harry_kane.php,https://www.losmundialesdefutbol.com/mundiales/2018_goleadores.php,2026-03-16T22:25:42.191898
2018,2,Denis Cheryshev,Rusia,4,5,0.80,../jugadores/denis_cheryshev.php,https://www.losmundialesdefutbol.com/mundiales/2018_goleadores.php,2026-03-16T22:25:42.191898
2018,7,Edinson Cavani,Uruguay,3,4,0.75,../jugadores/edinson_cavani.php,https://www.losmundialesdefutbol.com/mundiales/2018_goleadores.php,2026-03-16T22:25:42.191898
2014,1,James Rodríguez,Colombia,6,5,1.20,../jugadores/james_rodriguez.php,https://www.losmundialesdefutbol.com/mundiales/2014_goleadores.php,2026-03-16T22:25:51.309502
2014,2,Thomas Müller,Alemania,5,7,0.71,../jugadores/thomas_mueller.php,https://www.losmundialesdefutbol.com/mundiales/2014_goleadores.php,2026-03-16T22:25:51.309502
2014,3,Lionel Messi,Argentina,4,7,0.57,../jugadores/lionel_messi.php,https://www.losmundialesdefutbol.com/mundiales/2014_goleadores.php,2026-03-16T22:25:51.309502
2014,6,Karim Benzema,Francia,3,5,0.60,../jugadores/karim_benzema.php,https://www.losmundialesdefutbol.com/mundiales/2014_goleadores.php,2026-03-16T22:25:51.309502
2010,1,Diego Forlan,Uruguay,5,7,0.71,../jugadores/diego_forlan.php,https://www.losmundialesdefutbol.com/mundiales/2010_goleadores.php,2026-03-16T22:26:00.517112
2010,5,Gonzalo Higuain,Argentina,4,4,1.00,../jugadores/gonzalo_higuain.php,https://www.losmundialesdefutbol.com/mundiales/2010_goleadores.php,2026-03-16T22:26:00.517112
2010,8,Landon Donovan,Estados Unidos,3,4,0.75,../jugadores/landon_donovan.php,https://www.losmundialesdefutbol.com/mundiales/2010_goleadores.php,2026-03-16T22:26:00.517112
2006,1,Miroslav Klose,Alemania,5,7,0.71,../jugadores/miroslav_klose.php,https://www.losmundialesdefutbol.com/mundiales/2006_goleadores.php,2026-03-16T22:26:09.466827
2006,2,Hernan Crespo,Argentina,3,4,0.75,../jugadores/hernan_crespo.php,https://www.losmundialesdefutbol.com/mundiales/2006_goleadores.php,2026-03-16T22:26:09.466827
2002,1,Ronaldo,Brasil,8,7,1.14,../jugadores/ronaldo.php,https://www.losmundialesdefutbol.com/mundiales/2002_goleadores.php,2026-03-16T22:26:18.655461
2002,2,Miroslav Klose,Alemania,5,7,0.71,../jugadores/miroslav_klose.php,https://www.losmundialesdefutbol.com/mundiales/2002_goleadores.php,2026-03-16T22:26:18.655461
2002,4,Jon Dahl Tomasson,Dinamarca,4,4,1.00,../jugadores/jon_dahl_tomasson.php,https://www.losmundialesdefutbol.com/mundiales/2002_goleadores.php,2026-03-16T22:26:18.655461
2002,6,Michael Ballack,Alemania,3,6,0.50,../jugadores/michael_ballack.php,https://www.losmundialesdefutbol.com/mundiales/2002_goleadores.php,2026-03-16T22:26:18.655461
1998,1,Davor Suker,Croacia,6,7,0.86,../jugadores/davor_suker.php,https://www.losmundialesdefutbol.com/mundiales/1998_goleadores.php,2026-03-16T22:26:27.794797
1998,2,Gabriel Batistuta,Argentina,5,5,1.00,../jugadores/gabriel_batistuta.php,https://www.losmundialesdefutbol.com/mundiales/1998_goleadores.php,2026-03-16T22:26:27.794797
1998,4,Luis Hernandez,México,4,4,1.00,../jugadores/luis_hernandez.php,https://www.losmundialesdefutbol.com/mundiales/1998_goleadores.php,2026-03-16T22:26:27.794797
