jugador,seleccion,mundial,camiseta,posicion,jugados,titular,capitan,no_jugo,goles,promedio_gol,tarjetas_amarillas,tarjetas_rojas,pg,pe,pp,posicion_final,url_jugador,fecha_scraping
Miroslav Klose,Alemania,2002,11,Delantero,7,7,0,0,5,0.71,1,0,5,1,1,2,https://www.losmundialesdefutbol.com/jugadores/miroslav_klose.php,2026-03-16T22:24:56.514715
Miroslav Klose,Alemania,2006,11,Delantero,7,7,0,0,5,0.71,0,0,5,1,1,3,https://www.losmundialesdefutbol.com/jugadores/miroslav_klose.php,2026-03-16T22:24:56.514715
Miroslav Klose,Alemania,2010,11,Delantero,5,5,0,2,4,0.80,0,1,3,0,2,3,https://www.losmundialesdefutbol.com/jugadores/miroslav_klose.php,2026-03-16T22:24:56.514715
Miroslav Klose,Alemania,2014,11,Delantero,5,3,0,2,2,0.40,0,0,4,1,0,1,https://www.losmundialesdefutbol.com/jugadores/miroslav_klose.php,2026-03-16T22:24:56.514715
Ronaldo,Brasil,1994,20,Delantero,0,0,0,7,0,0.00,0,0,0,0,0,1,https://www.losmundialesdefutbol.com/jugadores/ronaldo.php,2026-03-16T22:24:58.667029
Ronaldo,Brasil,1998,9,Delantero,7,7,0,0,4,0.57,0,0,4,1,2,2,https://www.losmundialesdefutbol.com/jugadores/ronaldo.php,2026-03-16T22:24:58.667029
Ronaldo,Brasil,2002,9,Delantero,7,7,0,0,8,1.14,0,0,7,0,0,1,https://www.losmundialesdefutbol.com/jugadores/ronaldo.php,2026-03-16T22:24:58.667029
Ronaldo,Brasil,2006,9,Delantero,5,5,0,0,3,0.60,2,0,4,0,1,5,https://www.losmundialesdefutbol.com/jugadores/ronaldo.php,2026-03-16T22:24:58.667029
Gerd Mueller,Alemania Occidental,1970,13,Delantero,6,6,0,0,10,1.67,2,0,5,0,1,3,https://www.losmundialesdefutbol.com/jugadores/gerd_mueller.php,2026-03-16T22:24:59.877296
Gerd Mueller,Alemania Occidental,1974,13,Delantero,7,7,0,0,4,0.57,0,0,6,0,1,1,https://www.losmundialesdefutbol.com/jugadores/gerd_mueller.php,2026-03-16T22:24:59.877296
Just Fontaine,Francia,1958,17,Delantero,6,6,0,0,13,2.17,0,0,4,0,2,3,https://www.losmundialesdefutbol.com/jugadores/just_fontaine.php,2026-03-16T22:25:01.394070
Lionel Messi,Argentina,2006,19,Delantero,3,1,0,2,1,0.33,0,0,2,1,0,6,https://www.losmundialesdefutbol.com/jugadores/lionel_messi.php,2026-03-16T22:25:03.796567
