seleccion,mundiales_jugados,campeon_veces,campeon_anios,subcampeon_veces,subcampeon_anios,posicion_historica,partidos_jugados,partidos_ganados,partidos_empatados,partidos_perdidos,goles_favor,goles_contra,diferencia_gol,url,fecha_scraping
Alemania,21,4,"1954,1974,1990,2014",1,1954,2,112,68,21,23,232,130,+102,https://www.losmundialesdefutbol.com/selecciones/alemania_seleccion.php,2026-03-16T22:22:33.905395
Arabia Saudita,7,0,,0,,45,19,4,2,13,14,44,-30,https://www.losmundialesdefutbol.com/selecciones/arabia_saudita_seleccion.php,2026-03-16T22:22:35.842735
Argelia,5,0,,0,,47,13,3,3,7,13,19,-6,https://www.losmundialesdefutbol.com/selecciones/argelia_seleccion.php,2026-03-16T22:22:37.277977
Argentina,19,3,"1978,1986,2022",1,1978,3,88,47,17,24,152,101,+51,https://www.losmundialesdefutbol.com/selecciones/argentina_seleccion.php,2026-03-16T22:22:39.533639
Australia,7,0,,0,,41,20,4,4,12,17,37,-20,https://www.losmundialesdefutbol.com/selecciones/australia_seleccion.php,2026-03-16T22:22:41.472617
Austria,9,0,,0,,21,29,12,4,13,43,47,-4,https://www.losmundialesdefutbol.com/selecciones/austria_seleccion.php,2026-03-16T22:22:43.625411
Bélgica,15,0,,0,,10,51,21,10,20,69,74,-5,https://www.losmundialesdefutbol.com/selecciones/belgica_seleccion.php,2026-03-16T22:22:45.876383
Brasil,23,5,"1958,1962,1970,1994,2002",1,1958,1,114,76,19,19,237,108,+129,https://www.losmundialesdefutbol.com/selecciones/brasil_seleccion.php,2026-03-16T22:22:47.941865
Cabo Verde,1,0,,0,,70,0,0,0,0,0,0,0,https://www.losmundialesdefutbol.com/selecciones/cabo_verde_seleccion.php,2026-03-16T22:22:49.311027
Canadá,3,0,,0,,81,6,0,0,6,2,12,-10,https://www.losmundialesdefutbol.com/selecciones/canada_seleccion.php,2026-03-16T22:22:50.788730
Catar,2,0,,0,,76,3,0,0,3,1,7,-6,https://www.losmundialesdefutbol.com/selecciones/catar_seleccion.php,2026-03-16T22:22:53.388154
Colombia,7,0,,0,,27,22,9,3,10,32,30,+2,https://www.losmundialesdefutbol.com/selecciones/colombia_seleccion.php,2026-03-16T22:22:54.909069
Corea del Sur,12,0,,0,,26,38,7,10,21,39,78,-39,https://www.losmundialesdefutbol.com/selecciones/corea_del_sur_seleccion.php,2026-03-16T22:22:57.161336
Costa de Marfil,4,0,,0,,48,9,3,1,5,13,14,-1,https://www.losmundialesdefutbol.com/selecciones/costa_de_marfil_seleccion.php,2026-03-16T22:22:59.289687
Croacia,7,0,,0,,19,30,13,8,9,43,33,+10,https://www.losmundialesdefutbol.com/selecciones/croacia_seleccion.php,2026-03-16T22:23:00.520347
Curazao,1,0,,0,,70,0,0,0,0,0,0,0,https://www.losmundialesdefutbol.com/selecciones/curazao_seleccion.php,2026-03-16T22:23:02.153649
Ecuador,5,0,,0,,38,13,5,2,6,14,14,0,https://www.losmundialesdefutbol.com/selecciones/ecuador_seleccion.php,2026-03-16T22:23:03.797775
Egipto,4,0,,0,,65,7,0,2,5,5,12,-7,https://www.losmundialesdefutbol.com/selecciones/egipto_seleccion.php,2026-03-16T22:23:05.703590
Escocia,9,0,,0,,34,23,4,7,12,25,41,-16,https://www.losmundialesdefutbol.com/selecciones/escocia_seleccion.php,2026-03-16T22:23:07.380780
España,17,1,2010,1,2010,7,67,31,17,19,108,75,+33,https://www.losmundialesdefutbol.com/selecciones/espana_seleccion.php,2026-03-16T22:23:09.226281
Estados Unidos,12,0,,0,,23,37,9,8,20,40,66,-26,https://www.losmundialesdefutbol.com/selecciones/estados_unidos_seleccion.php,2026-03-16T22:23:11.372783
Francia,17,2,"1998,2018",1,1998,5,73,39,14,20,136,85,+51,https://www.losmundialesdefutbol.com/selecciones/francia_seleccion.php,2026-03-16T22:23:12.935783
Ghana,5,0,,0,,36,15,5,3,7,18,23,-5,https://www.losmundialesdefutbol.com/selecciones/ghana_seleccion.php,2026-03-16T22:23:14.409059
Haití,2,0,,0,,82,3,0,0,3,2,14,-12,https://www.losmundialesdefutbol.com/selecciones/haiti_seleccion.php,2026-03-16T22:23:16.601261
Inglaterra,17,1,1966,1,1966,6,74,32,22,20,104,68,+36,https://www.losmundialesdefutbol.com/selecciones/inglaterra_seleccion.php,2026-03-16T22:23:18.270612
Irán,7,0,,0,,46,18,3,4,11,13,31,-18,https://www.losmundialesdefutbol.com/selecciones/iran_seleccion.php,2026-03-16T22:23:20.239567
