id_mundial,anio,id_organizador,id_campeon,selecciones_participan,partidos,goles,promedio_gol
23,2026,,,48,104 (0 ya jugados),0,0.00
22,2022,18.0,7,32,64,172,2.69
1,1930,89.0,89,13,18,70,3.89
2,1934,56.0,56,16,17,70,4.12
3,1938,40.0,56,16,18,84,4.67
4,1950,12.0,89,13,22,88,4.00
5,1954,82.0,2,16,26,140,5.38
6,1958,81.0,12,16,35,126,3.60
7,1962,20.0,12,16,32,89,2.78
8,1966,49.0,49,16,32,89,2.78
9,1970,62.0,12,16,32,95,2.97
10,1974,2.0,2,16,38,97,2.55
11,1978,7.0,7,16,38,102,2.68
12,1982,38.0,56,24,52,146,2.81
13,1986,62.0,7,24,52,132,2.54
14,1990,56.0,2,24,52,115,2.21
15,1994,39.0,12,24,52,141,2.71
16,1998,40.0,40,32,64,171,2.67
17,2002,,12,32,64,161,2.52
18,2006,1.0,56,32,64,147,2.30
19,2010,80.0,38,32,64,145,2.27
20,2014,12.0,1,32,64,171,2.67
21,2018,76.0,40,32,64,169,2.64
