id_mundial,id_partido,id_jugador,id_seleccion,minuto,tipo_gol
22,10,278,1,33,penal
22,10,162,58,75,normal
22,10,247,58,83,normal
22,28,36,38,62,normal
22,28,239,1,83,normal
22,44,274,1,10,normal
22,44,306,25,58,normal
22,44,307,25,70,normal
22,44,240,1,73,normal
22,44,240,1,85,normal
22,44,239,1,89,normal
22,5,5,7,10,penal
22,5,59,5,48,normal
22,5,55,5,53,normal
22,22,311,70,39,normal
22,22,10,70,82,normal
22,39,292,62,47,normal
22,39,256,62,52,normal
22,39,55,5,90,normal
20,161,62,6,26,normal
20,161,63,6,28,normal
20,161,61,6,38,normal
20,161,99,24,50,normal
20,161,451,6,62,normal
20,161,472,24,72,normal
20,177,471,76,6,normal
20,177,62,6,60,normal
20,183,439,1,92,normal
20,183,482,1,120,normal
20,183,61,6,120,normal
22,57,294,7,35,normal
22,57,5,7,73,penal
22,57,244,66,83,normal
22,57,244,66,90,normal
22,61,5,7,34,penal
22,61,230,7,39,normal
22,61,230,7,69,normal
22,64,5,7,23,penal
22,64,33,7,36,normal
22,64,6,40,80,penal
22,64,6,40,81,normal
22,64,5,7,108,normal
22,64,6,40,118,penal
22,21,266,8,23,normal
22,37,72,8,60,normal
22,50,5,7,35,normal
22,50,230,7,57,normal
22,50,269,8,77,autogol
16,388,755,16,77,normal
16,388,761,9,90,normal
16,404,705,20,70,normal
16,404,771,9,90,normal
16,418,351,56,48,normal
16,418,349,56,90,normal
16,418,737,9,90,penal
22,12,250,14,44,normal
22,26,171,61,73,normal
22,26,245,61,90,normal
22,48,234,16,90,normal
22,54,308,12,7,normal
22,54,15,12,13,normal
22,54,233,12,29,normal
22,54,298,12,36,normal
22,54,297,24,76,normal
22,58,15,12,105,normal
22,58,300,27,117,normal
22,27,90,17,2,normal
22,27,112,27,36,normal
22,27,288,27,44,normal
22,27,112,27,70,normal
22,27,291,27,90,normal
22,42,172,61,4,normal
22,42,167,61,23,normal
22,42,1585,17,40,autogol
22,1,21,31,16,penal
22,1,21,31,31,normal
22,18,263,77,41,normal
22,18,264,77,48,normal
22,18,91,18,78,normal
22,18,265,77,84,normal
22,33,231,66,26,normal
22,33,261,66,49,normal
21,96,92,22,40,normal
21,96,390,22,70,normal
21,96,385,22,75,normal
21,113,92,22,74,normal
21,121,25,49,57,penal
21,121,92,22,90,normal
22,30,148,42,24,normal
22,30,145,42,34,normal
22,30,235,24,58,normal
22,30,235,24,61,normal
22,30,145,42,68,normal
22,46,282,71,5,normal
22,46,284,24,27,normal
22,46,283,24,90,normal
20,135,161,58,16,normal
20,135,103,26,64,normal
20,135,106,26,66,normal
20,150,22,22,64,normal
20,150,94,22,70,normal
20,150,106,26,73,normal
20,167,488,43,42,normal
20,167,103,26,74,normal
20,167,487,43,90,penal
22,63,279,27,7,normal
22,63,260,61,9,normal
22,63,296,27,42,normal
22,19,231,66,6,normal
22,19,21,31,49,normal
22,34,207,77,44,normal
22,34,117,31,67,normal
22,34,287,77,70,normal
21,67,396,89,89,normal
21,82,3556,76,47,autogol
21,82,356,76,59,normal
21,82,368,76,62,normal
21,82,121,32,73,penal
21,99,121,32,22,normal
21,99,373,5,45,penal
21,99,55,5,90,normal
16,386,706,12,5,normal
16,386,726,35,38,penal
16,386,2406,12,74,autogol
16,402,180,64,46,normal
16,402,724,35,66,normal
16,419,168,61,23,normal
16,419,169,61,46,normal
16,419,168,61,85,normal
22,43,36,38,11,normal
22,43,162,58,48,normal
22,43,166,58,51,normal
22,36,301,39,38,normal
22,49,262,66,10,normal
22,49,252,66,45,normal
22,49,139,39,76,normal
22,49,267,66,81,normal
22,59,305,40,17,normal
22,59,25,49,54,penal
22,59,14,40,78,normal
22,62,281,40,5,normal
22,62,286,40,79,normal
22,15,9,71,65,penal
22,15,144,42,73,normal
22,15,268,71,78,normal
22,15,241,71,80,normal
22,15,253,42,89,normal
22,45,236,89,26,normal
22,45,236,89,32,normal
10,702,149,44,46,normal
10,702,1105,56,52,normal
10,702,1044,56,66,normal
10,702,1084,56,79,normal
10,710,334,70,17,normal
10,710,1051,70,18,normal
10,710,336,70,30,normal
10,710,1095,70,31,normal
10,710,336,70,34,normal
10,710,336,70,50,normal
10,710,334,70,87,normal
10,717,1083,7,15,normal
10,717,1055,7,18,normal
10,717,1085,7,55,normal
10,717,149,44,63,normal
10,717,1083,7,68,normal
22,35,232,49,50,normal
22,35,270,49,51,normal
22,35,232,49,68,normal
22,51,280,49,38,normal
22,51,25,49,45,normal
22,51,154,49,57,normal
22,2,251,49,35,normal
22,2,154,49,43,normal
22,2,304,49,45,normal
22,2,154,49,62,normal
22,2,155,53,65,normal
22,2,232,49,71,normal
22,2,276,49,90,normal
22,2,155,53,90,penal
22,17,257,53,90,normal
22,17,159,53,90,normal
