id_mundial,id_partido,id_jugador,id_seleccion,camiseta,posicion,rol,capitan,minuto_entrada,minuto_salida,goles_count
22,10,499,1,1,AR,Titular,1,,,0
22,10,7029,1,2,DF,Titular,0,,,0
22,10,6819,1,3,DF,Titular,0,,,0
22,10,7615,1,15,DF,Titular,0,,,0
22,10,7225,1,23,DF,Titular,0,,,0
22,10,4851,1,6,MC,Titular,0,,,0
22,10,19,1,13,MC,Titular,0,,67,0
22,10,5966,1,14,MC,Titular,0,,79,0
22,10,278,1,21,MC,Titular,0,,67,1
22,10,240,1,7,DL,Titular,0,,79,0
22,10,274,1,10,DL,Titular,0,,90,0
22,10,3945,1,8,MC,Ingreso,0,67,,0
22,10,441,1,11,MC,Ingreso,0,79,,0
22,10,4270,1,18,MC,Ingreso,0,67,,0
22,10,239,1,9,DL,Ingreso,0,79,,0
22,10,5912,1,26,DL,Ingreso,0,90,,0
22,10,7836,1,12,AR,Suplente,0,,,0
22,10,7737,1,22,AR,Suplente,0,,,0
22,10,3856,1,4,DF,Suplente,0,,,0
22,10,4752,1,5,DF,Suplente,0,,,0
22,10,4882,1,16,DF,Suplente,0,,,0
22,10,4039,1,20,DF,Suplente,0,,,0
22,10,2167,1,25,DF,Suplente,0,,,0
22,10,2423,1,17,MC,Suplente,0,,,0
22,10,7173,1,19,MC,Suplente,0,,,0
22,10,1561,1,24,DL,Suplente,0,,,0
22,10,3905,58,12,AR,Titular,0,,,0
22,10,4423,58,4,DF,Titular,0,,,0
22,10,5995,58,5,DF,Titular,0,,57,0
22,10,7112,58,19,DF,Titular,0,,75,0
22,10,8346,58,22,DF,Titular,1,,,0
22,10,3449,58,6,MC,Titular,0,,,0
22,10,5015,58,11,MC,Titular,0,,46,0
22,10,4427,58,14,MC,Titular,0,,,0
22,10,4682,58,15,MC,Titular,0,,,0
22,10,166,58,17,MC,Titular,0,,71,0
22,10,290,58,25,DL,Titular,0,,57,0
22,10,7796,58,16,DF,Ingreso,0,46,,0
22,10,162,58,8,MC,Ingreso,0,71,,1
22,10,5790,58,9,MC,Ingreso,0,57,,0
22,10,5771,58,10,MC,Ingreso,0,75,,0
22,10,247,58,18,DL,Ingreso,0,57,,1
22,10,4740,58,1,AR,Suplente,0,,,0
22,10,7230,58,23,AR,Suplente,0,,,0
22,10,8311,58,2,DF,Suplente,0,,,0
22,10,7697,58,3,DF,Suplente,0,,,0
22,10,4426,58,26,DF,Suplente,0,,,0
22,10,7333,58,7,MC,Suplente,0,,,0
22,10,5892,58,13,MC,Suplente,0,,,0
22,10,7461,58,24,MC,Suplente,0,,,0
22,10,5350,58,20,DL,Suplente,0,,,0
22,10,7887,58,21,DL,Suplente,0,,,0
22,28,7391,38,23,AR,Titular,0,,,0
22,28,47,38,18,DF,Titular,0,,82,0
22,28,2665,38,20,DF,Titular,0,,,0
22,28,5093,38,24,DF,Titular,0,,,0
22,28,39,38,5,MC,Titular,1,,,0
22,28,273,38,9,MC,Titular,0,,66,0
22,28,6937,38,16,MC,Titular,0,,,0
22,28,6493,38,26,MC,Titular,0,,,0
22,28,248,38,10,DL,Titular,0,,66,0
22,28,243,38,11,DL,Titular,0,,54,0
22,28,295,38,21,DL,Titular,0,,,0
22,28,2046,38,14,DF,Ingreso,0,82,,0
22,28,4901,38,8,MC,Ingreso,0,66,,0
22,28,36,38,7,DL,Ingreso,0,54,,1
22,28,8247,38,12,DL,Ingreso,0,66,,0
22,28,7165,38,1,AR,Suplente,0,,,0
22,28,6821,38,13,AR,Suplente,0,,,0
22,28,1998,38,2,DF,Suplente,0,,,0
22,28,3781,38,3,DF,Suplente,0,,,0
22,28,7815,38,4,DF,Suplente,0,,,0
22,28,4026,38,15,DF,Suplente,0,,,0
22,28,5246,38,6,MC,Suplente,0,,,0
22,28,303,38,19,MC,Suplente,0,,,0
22,28,6618,38,17,DL,Suplente,0,,,0
22,28,7192,38,22,DL,Suplente,0,,,0
22,28,3557,38,25,DL,Suplente,0,,,0
22,28,499,1,1,AR,Titular,1,,,0
22,28,7029,1,2,DF,Titular,0,,,0
22,28,6819,1,3,DF,Titular,0,,87,0
22,28,4752,1,5,DF,Titular,0,,70,0
22,28,7615,1,15,DF,Titular,0,,,0
22,28,4851,1,6,MC,Titular,0,,,0
22,28,3945,1,8,MC,Titular,0,,,0
22,28,19,1,13,MC,Titular,0,,70,0
22,28,5966,1,14,MC,Titular,0,,,0
22,28,278,1,21,MC,Titular,0,,70,0
22,28,274,1,10,DL,Titular,0,,85,0
22,28,4882,1,16,DF,Ingreso,0,70,,0
22,28,7225,1,23,DF,Ingreso,0,87,,0
22,28,4270,1,18,MC,Ingreso,0,85,,0
22,28,7173,1,19,MC,Ingreso,0,70,,0
22,28,239,1,9,DL,Ingreso,0,70,,1
22,28,7836,1,12,AR,Suplente,0,,,0
22,28,7737,1,22,AR,Suplente,0,,,0
22,28,3856,1,4,DF,Suplente,0,,,0
